ts,kr,us,fx
2026-06-02 03:10:00+00:00,206.29,233.7,1.0
2026-06-02 03:15:00+00:00,205.48,234.6,1.0
2026-06-02 03:20:00+00:00,205.63,233.88,1.0
2026-06-02 03:25:00+00:00,205.15,233.5,1.0
2026-06-02 03:30:00+00:00,204.72,233.76,1.0
2026-06-02 03:35:00+00:00,205.83,235.15,1.0
2026-06-02 03:40:00+00:00,205.94,234.96,1.0
2026-06-02 03:45:00+00:00,206.59,235.24,1.0
2026-06-02 03:50:00+00:00,205.91,235.62,1.0
2026-06-02 03:55:00+00:00,206.09,234.53,1.0
2026-06-02 04:00:00+00:00,206.96,235.96,1.0
2026-06-02 04:05:00+00:00,206.79,237.12,1.0
2026-06-02 04:10:00+00:00,206.0,234.55,1.0
2026-06-02 04:15:00+00:00,206.04,234.91,1.0
2026-06-02 04:20:00+00:00,205.87,234.66,1.0
2026-06-02 04:25:00+00:00,206.29,234.02,1.0
2026-06-02 04:30:00+00:00,206.24,235.26,1.0
2026-06-02 04:35:00+00:00,206.74,234.84,1.0
2026-06-02 04:40:00+00:00,206.28,234.97,1.0
2026-06-02 04:45:00+00:00,206.91,235.0,1.0
2026-06-02 04:50:00+00:00,207.53,235.07,1.0
2026-06-02 04:55:00+00:00,208.46,235.09,1.0
2026-06-02 05:00:00+00:00,208.67,235.41,1.0
2026-06-02 05:05:00+00:00,208.74,235.58,1.0
2026-06-02 05:10:00+00:00,208.59,236.0,1.0
2026-06-02 05:15:00+00:00,209.11,235.4,1.0
2026-06-02 05:20:00+00:00,209.93,236.03,1.0
2026-06-02 05:25:00+00:00,210.02,237.0,1.0
2026-06-02 05:30:00+00:00,210.96,237.21,1.0
2026-06-02 05:35:00+00:00,210.89,238.1,1.0
2026-06-02 05:40:00+00:00,211.9,239.45,1.0
2026-06-02 05:45:00+00:00,212.02,240.56,1.0
2026-06-02 05:50:00+00:00,210.4,239.36,1.0
2026-06-02 05:55:00+00:00,210.39,240.05,1.0
2026-06-02 06:00:00+00:00,210.0,238.58,1.0
2026-06-02 06:05:00+00:00,209.97,238.66,1.0
2026-06-02 06:10:00+00:00,210.44,238.54,1.0
2026-06-02 06:15:00+00:00,210.13,238.88,1.0
2026-06-02 06:20:00+00:00,210.93,239.93,1.0
2026-06-02 06:25:00+00:00,211.39,238.75,1.0
2026-06-02 06:30:00+00:00,211.39,239.86,1.0
2026-06-02 06:35:00+00:00,211.8,239.37,1.0
2026-06-02 06:40:00+00:00,211.56,237.81,1.0
2026-06-02 06:45:00+00:00,210.95,238.42,1.0
2026-06-02 06:50:00+00:00,210.99,238.45,1.0
2026-06-02 06:55:00+00:00,211.29,238.34,1.0
2026-06-02 07:00:00+00:00,211.62,238.01,1.0
2026-06-02 07:05:00+00:00,211.79,238.45,1.0
2026-06-02 07:10:00+00:00,211.71,238.55,1.0
2026-06-02 07:15:00+00:00,211.53,238.19,1.0
2026-06-02 07:20:00+00:00,211.23,237.87,1.0
2026-06-02 07:25:00+00:00,211.12,237.79,1.0
2026-06-02 07:30:00+00:00,210.72,237.89,1.0
2026-06-02 07:35:00+00:00,210.63,238.07,1.0
2026-06-02 07:40:00+00:00,210.55,237.82,1.0
2026-06-02 07:45:00+00:00,210.63,237.57,1.0
2026-06-02 07:50:00+00:00,210.95,236.89,1.0
2026-06-02 07:55:00+00:00,211.0,236.86,1.0
2026-06-02 08:00:00+00:00,211.29,238.46,1.0
2026-06-02 08:05:00+00:00,211.14,238.54,1.0
2026-06-02 08:10:00+00:00,211.22,238.41,1.0
2026-06-02 08:15:00+00:00,211.26,238.58,1.0
2026-06-02 08:20:00+00:00,211.25,238.58,1.0
2026-06-02 08:25:00+00:00,211.28,238.85,1.0
2026-06-02 08:30:00+00:00,211.5,239.0,1.0
2026-06-02 08:35:00+00:00,211.62,238.9,1.0
2026-06-02 08:40:00+00:00,211.64,238.69,1.0
2026-06-02 08:45:00+00:00,211.49,238.16,1.0
2026-06-02 08:50:00+00:00,210.79,237.4,1.0
2026-06-02 08:55:00+00:00,211.0,237.67,1.0
2026-06-02 09:00:00+00:00,210.31,237.92,1.0
2026-06-02 09:05:00+00:00,210.35,237.88,1.0
2026-06-02 09:10:00+00:00,210.17,238.1,1.0
2026-06-02 09:15:00+00:00,210.73,237.68,1.0
2026-06-02 09:20:00+00:00,210.49,237.96,1.0
2026-06-02 09:25:00+00:00,210.66,237.93,1.0
2026-06-02 09:30:00+00:00,210.71,238.06,1.0
2026-06-02 09:35:00+00:00,210.79,238.19,1.0
2026-06-02 09:40:00+00:00,210.95,238.35,1.0
2026-06-02 09:45:00+00:00,210.74,238.96,1.0
2026-06-02 09:50:00+00:00,210.49,239.04,1.0
2026-06-02 09:55:00+00:00,210.57,239.2,1.0
2026-06-02 10:00:00+00:00,210.51,239.09,1.0
2026-06-02 10:05:00+00:00,210.5,238.98,1.0
2026-06-02 10:10:00+00:00,210.34,238.99,1.0
2026-06-02 10:15:00+00:00,210.17,238.9,1.0
2026-06-02 10:20:00+00:00,210.15,239.09,1.0
2026-06-02 10:25:00+00:00,210.19,239.06,1.0
2026-06-02 10:30:00+00:00,210.1,239.17,1.0
2026-06-02 10:35:00+00:00,210.07,239.07,1.0
2026-06-02 10:40:00+00:00,209.71,238.9,1.0
2026-06-02 10:45:00+00:00,209.48,238.98,1.0
2026-06-02 10:50:00+00:00,209.73,239.0,1.0
2026-06-02 10:55:00+00:00,210.05,239.14,1.0
2026-06-02 11:00:00+00:00,209.79,241.42,1.0
2026-06-02 11:05:00+00:00,210.53,241.69,1.0
2026-06-02 11:10:00+00:00,210.79,243.43,1.0
2026-06-02 11:15:00+00:00,210.89,244.31,1.0
2026-06-02 11:20:00+00:00,210.5,246.0,1.0
2026-06-02 11:25:00+00:00,211.07,247.69,1.0
2026-06-02 11:30:00+00:00,211.55,247.86,1.0
2026-06-02 11:35:00+00:00,211.78,247.15,1.0
2026-06-02 11:40:00+00:00,211.92,244.68,1.0
2026-06-02 11:45:00+00:00,211.86,244.26,1.0
2026-06-02 11:50:00+00:00,212.07,244.17,1.0
2026-06-02 11:55:00+00:00,211.78,244.82,1.0
2026-06-02 12:00:00+00:00,211.95,246.74,1.0
2026-06-02 12:05:00+00:00,212.04,247.62,1.0
2026-06-02 12:10:00+00:00,211.79,248.03,1.0
2026-06-02 12:15:00+00:00,211.81,246.52,1.0
2026-06-02 12:20:00+00:00,212.53,245.92,1.0
2026-06-02 12:25:00+00:00,212.99,245.92,1.0
2026-06-02 12:30:00+00:00,212.58,245.92,1.0
2026-06-02 12:35:00+00:00,212.36,245.52,1.0
2026-06-02 12:40:00+00:00,212.5,245.89,1.0
2026-06-02 12:45:00+00:00,212.43,245.51,1.0
2026-06-02 12:50:00+00:00,212.12,245.38,1.0
2026-06-02 12:55:00+00:00,211.77,245.65,1.0
2026-06-02 13:00:00+00:00,211.85,245.53,1.0
2026-06-02 13:05:00+00:00,211.22,244.14,1.0
2026-06-02 13:10:00+00:00,211.28,244.31,1.0
2026-06-02 13:15:00+00:00,211.33,244.26,1.0
2026-06-02 13:20:00+00:00,211.82,244.68,1.0
2026-06-02 13:25:00+00:00,211.67,244.54,1.0
2026-06-02 13:30:00+00:00,210.31,242.32,1.0
2026-06-02 13:35:00+00:00,211.56,242.26,1.0
2026-06-02 13:40:00+00:00,212.23,244.54,1.0
2026-06-02 13:45:00+00:00,212.53,244.81,1.0
2026-06-02 13:50:00+00:00,212.71,245.2,1.0
2026-06-02 13:55:00+00:00,212.76,244.96,1.0
2026-06-02 14:00:00+00:00,213.47,244.19,1.0
2026-06-02 14:05:00+00:00,213.7,243.88,1.0
2026-06-02 14:10:00+00:00,214.16,244.15,1.0
2026-06-02 14:15:00+00:00,213.42,244.09,1.0
2026-06-02 14:20:00+00:00,212.13,243.97,1.0
2026-06-02 14:25:00+00:00,211.7,243.73,1.0
2026-06-02 14:30:00+00:00,212.1,246.23,1.0
2026-06-02 14:35:00+00:00,212.47,246.92,1.0
2026-06-02 14:40:00+00:00,212.76,247.14,1.0
2026-06-02 14:45:00+00:00,212.87,247.24,1.0
2026-06-02 14:50:00+00:00,213.14,247.24,1.0
2026-06-02 14:55:00+00:00,213.08,247.33,1.0
2026-06-02 15:00:00+00:00,213.14,247.6,1.0
2026-06-02 15:05:00+00:00,213.29,247.9,1.0
2026-06-02 15:10:00+00:00,213.36,247.81,1.0
2026-06-02 15:15:00+00:00,213.28,248.38,1.0
2026-06-02 15:20:00+00:00,213.81,247.69,1.0
2026-06-02 15:25:00+00:00,213.76,248.5,1.0
2026-06-02 15:30:00+00:00,214.19,248.26,1.0
2026-06-02 15:35:00+00:00,214.23,248.88,1.0
2026-06-02 15:40:00+00:00,213.87,248.74,1.0
2026-06-02 15:45:00+00:00,214.16,249.73,1.0
2026-06-02 15:50:00+00:00,214.06,250.27,1.0
2026-06-02 15:55:00+00:00,214.12,250.2,1.0
2026-06-02 16:00:00+00:00,213.84,250.7,1.0
2026-06-02 16:05:00+00:00,214.06,250.67,1.0
2026-06-02 16:10:00+00:00,213.68,253.56,1.0
2026-06-02 16:15:00+00:00,213.45,251.79,1.0
2026-06-02 16:20:00+00:00,213.44,252.13,1.0
2026-06-02 16:25:00+00:00,213.18,251.74,1.0
2026-06-02 16:30:00+00:00,213.14,251.88,1.0
2026-06-02 16:35:00+00:00,212.77,250.96,1.0
2026-06-02 16:40:00+00:00,213.0,250.35,1.0
2026-06-02 16:45:00+00:00,213.37,251.56,1.0
2026-06-02 16:50:00+00:00,213.41,251.53,1.0
2026-06-02 16:55:00+00:00,213.52,251.74,1.0
2026-06-02 17:00:00+00:00,213.49,251.61,1.0
2026-06-02 17:05:00+00:00,213.08,250.74,1.0
2026-06-02 17:10:00+00:00,213.11,249.37,1.0
2026-06-02 17:15:00+00:00,212.36,248.47,1.0
2026-06-02 17:20:00+00:00,212.25,249.5,1.0
2026-06-02 17:25:00+00:00,212.46,249.25,1.0
2026-06-02 17:30:00+00:00,212.53,249.4,1.0
2026-06-02 17:35:00+00:00,212.4,249.7,1.0
2026-06-02 17:40:00+00:00,212.74,250.02,1.0
2026-06-02 17:45:00+00:00,212.81,249.73,1.0
2026-06-02 17:50:00+00:00,212.66,249.66,1.0
2026-06-02 17:55:00+00:00,212.86,249.5,1.0
2026-06-02 18:00:00+00:00,212.64,249.1,1.0
2026-06-02 18:05:00+00:00,212.78,249.13,1.0
2026-06-02 18:10:00+00:00,213.29,250.37,1.0
2026-06-02 18:15:00+00:00,213.0,251.38,1.0
2026-06-02 18:20:00+00:00,213.34,252.08,1.0
2026-06-02 18:25:00+00:00,213.32,252.16,1.0
2026-06-02 18:30:00+00:00,213.29,252.99,1.0
2026-06-02 18:35:00+00:00,212.9,252.43,1.0
2026-06-02 18:40:00+00:00,212.89,252.4,1.0
2026-06-02 18:45:00+00:00,213.16,251.53,1.0
2026-06-02 18:50:00+00:00,213.1,252.46,1.0
2026-06-02 18:55:00+00:00,213.41,252.1,1.0
2026-06-02 19:00:00+00:00,213.65,251.57,1.0
2026-06-02 19:05:00+00:00,213.7,250.58,1.0
2026-06-02 19:10:00+00:00,213.72,251.97,1.0
2026-06-02 19:15:00+00:00,213.59,251.63,1.0
2026-06-02 19:20:00+00:00,213.5,250.99,1.0
2026-06-02 19:25:00+00:00,213.41,251.53,1.0
2026-06-02 19:30:00+00:00,213.53,251.44,1.0
2026-06-02 19:35:00+00:00,213.62,251.87,1.0
2026-06-02 19:40:00+00:00,213.92,252.47,1.0
2026-06-02 19:45:00+00:00,214.63,252.96,1.0
