entry_ts,exit_ts,side,entry_z,max_abs_z,entry_seg,held_hours,pnl_pct,reason
2026-07-11 12:00:00+00:00,2026-07-11 18:50:00+00:00,-1,3.2884,4.2642,wknd,6.8333,0.1701,conv
2026-07-11 23:10:00+00:00,2026-07-11 23:45:00+00:00,1,-2.4368,2.4368,wknd,0.5833,0.5672,conv
2026-07-12 00:35:00+00:00,2026-07-12 03:35:00+00:00,1,-2.3331,2.4949,wknd,3.0,0.5845,conv
2026-07-12 17:55:00+00:00,2026-07-12 23:00:00+00:00,-1,2.1303,3.0363,wknd,5.0833,0.6304,conv
2026-07-14 15:15:00+00:00,2026-07-14 16:10:00+00:00,1,-5.4521,5.8857,US_open,0.9167,-2.6689,stop
2026-07-17 10:05:00+00:00,2026-07-17 13:30:00+00:00,1,-3.0019,3.0019,KR->US,3.4167,3.9464,conv
2026-07-19 04:05:00+00:00,2026-07-19 22:00:00+00:00,-1,2.1426,3.2236,wknd,17.9167,-0.5077,conv
2026-07-19 22:50:00+00:00,2026-07-19 23:00:00+00:00,-1,2.1511,3.0851,wknd,0.1667,0.9206,conv
2026-07-20 01:20:00+00:00,2026-07-20 02:25:00+00:00,-1,2.0009,2.0095,KR_open,1.0833,2.5211,conv
2026-07-21 02:40:00+00:00,2026-07-21 08:25:00+00:00,-1,2.074,2.5293,KR_open,5.75,1.8276,conv
2026-07-22 06:30:00+00:00,2026-07-22 12:20:00+00:00,1,-2.3065,2.3065,KR->US,5.8333,1.0912,conv
2026-07-23 08:40:00+00:00,2026-07-23 18:40:00+00:00,1,-2.8508,2.9306,KR->US,10.0,0.7442,conv
2026-07-25 00:00:00+00:00,2026-07-26 00:00:00+00:00,-1,3.6282,4.4037,wknd,24.0,-1.0298,timeout
2026-07-26 00:45:00+00:00,2026-07-26 03:05:00+00:00,-1,2.0025,2.2504,wknd,2.3333,0.4642,conv
2026-07-26 09:05:00+00:00,2026-07-26 20:25:00+00:00,1,-2.3843,2.3843,wknd,11.3333,0.3528,conv
2026-07-27 13:55:00+00:00,2026-07-27 15:30:00+00:00,-1,2.375,3.2002,US_open,1.5833,-2.528,stop
2026-07-27 20:00:00+00:00,2026-07-28 04:40:00+00:00,-1,2.646,3.2013,US->KR,8.6667,1.9383,conv
2026-07-28 08:45:00+00:00,2026-07-28 13:30:00+00:00,1,-2.1417,2.5302,KR->US,4.75,1.5942,conv
2026-07-28 22:50:00+00:00,2026-07-29 02:15:00+00:00,-1,2.0515,3.1081,US->KR,3.4167,2.522,conv
2026-07-29 06:30:00+00:00,2026-07-29 14:00:00+00:00,1,-3.0581,5.0516,KR->US,7.5,-3.4469,stop
2026-07-29 14:45:00+00:00,2026-07-29 17:20:00+00:00,1,-2.0773,2.0773,US_open,2.5833,3.2926,conv
2026-07-30 00:15:00+00:00,2026-07-30 01:40:00+00:00,1,-2.2044,2.5604,KR_open,1.4167,1.9514,conv
2026-07-30 02:55:00+00:00,2026-07-30 05:40:00+00:00,1,-2.0213,2.0213,KR_open,2.75,1.4297,conv
2026-07-30 06:50:00+00:00,2026-07-30 10:20:00+00:00,1,-2.0266,2.3157,KR->US,3.5,1.084,conv
2026-07-30 11:45:00+00:00,2026-07-30 13:45:00+00:00,1,-2.423,3.9915,KR->US,2.0,-2.6237,stop
2026-07-31 06:30:00+00:00,2026-07-31 13:05:00+00:00,-1,2.9132,3.9114,KR->US,6.5833,1.6872,conv
