pair,window_d,z_in,fees,trades,win%,net_med,net_total,fund_total,worst,hold_med_d,sharpe_tr
AMAT/LRCX,5,2.0,taker,74,41.891891891891895,-19.82487855085318,-400.853884100011,8.6674,-761.0894783428955,0.003472222222222222,-0.0353428813845295
AMAT/LRCX,5,2.0,maker,74,48.64864864864865,-3.824878550853181,783.146115899989,8.6674,-745.0894783428955,0.003472222222222222,0.06904920066610261
AMAT/LRCX,5,2.5,taker,67,35.82089552238806,-22.955516971009303,-765.4860076171503,7.684900000000002,-761.0894783428955,0.003472222222222222,-0.07210110802668326
AMAT/LRCX,5,2.5,maker,67,43.28358208955223,-6.955516971009301,306.5139923828495,7.684900000000002,-745.0894783428955,0.003472222222222222,0.028870545322284818
AMAT/LRCX,10,2.0,taker,28,46.42857142857143,-10.652384887386614,591.3523740467461,7.812800000000001,-749.0783871814956,0.005208333333333333,0.09097793853979727
AMAT/LRCX,10,2.0,maker,28,57.14285714285714,5.347615112613386,1039.352374046746,7.812800000000001,-733.0783871814956,0.005208333333333333,0.1599015080638578
AMAT/LRCX,10,2.5,taker,24,37.5,-19.21194393861157,-70.09045946295669,6.3086,-749.0783871814956,0.003472222222222222,-0.012090963767810433
AMAT/LRCX,10,2.5,maker,24,50.0,-3.2119439386115696,313.9095405370433,6.3086,-733.0783871814956,0.003472222222222222,0.05415100585849839
KLAC/LRCX,5,2.0,taker,40,50.0,3.4151722392125308,849.6625713924418,-2.4316000000000013,-816.3525099781948,0.06770833333333334,0.11102167471678075
KLAC/LRCX,5,2.0,maker,40,65.0,19.41517223921253,1489.6625713924416,-2.4316000000000013,-800.3525099781948,0.06770833333333334,0.19464766250425658
KLAC/LRCX,5,2.5,taker,30,40.0,-8.737150128890029,-196.13127510087756,-4.575800000000002,-816.3525099781948,0.020833333333333336,-0.03237020038880272
KLAC/LRCX,5,2.5,maker,30,60.0,7.262849871109972,283.8687248991224,-4.575800000000002,-800.3525099781948,0.020833333333333336,0.04685069989155132
KLAC/LRCX,10,2.0,taker,23,43.47826086956522,-14.95760608938312,-472.5734200053048,-3.2641999999999998,-751.3422733064178,0.006944444444444444,-0.0851270698387857
KLAC/LRCX,10,2.0,maker,23,56.52173913043478,1.0423939106168811,-104.57342000530488,-3.2641999999999998,-735.3422733064178,0.006944444444444444,-0.01883734558742709
KLAC/LRCX,10,2.5,taker,21,38.095238095238095,-15.128038119733784,-695.1251065918461,-5.731,-751.3422733064178,0.003472222222222222,-0.13695842309764858
KLAC/LRCX,10,2.5,maker,21,52.38095238095239,0.871961880266217,-359.1251065918463,-5.731,-735.3422733064178,0.003472222222222222,-0.07075734688212623
AMAT/KLAC,5,2.0,taker,104,26.923076923076923,-21.860945914870342,-1325.8260656597845,1.7676999999999996,-283.5560718702608,0.003472222222222222,-0.13018740508156637
AMAT/KLAC,5,2.0,maker,104,37.5,-5.860945914870345,338.17393434021585,1.7676999999999996,-267.5560718702608,0.003472222222222222,0.03320645755751348
AMAT/KLAC,5,2.5,taker,98,25.510204081632654,-21.860945914870342,-1162.1303508491499,4.0555,-207.53044895873003,0.003472222222222222,-0.12407085493714283
AMAT/KLAC,5,2.5,maker,98,37.755102040816325,-5.860945914870345,405.86964915084985,4.0555,-191.53044895873003,0.003472222222222222,0.04333127891065697
AMAT/KLAC,10,2.0,taker,29,13.793103448275861,-20.381781392021033,-374.0047670611865,6.451100000000001,-497.75444533207303,0.003472222222222222,-0.0927558008197168
AMAT/KLAC,10,2.0,maker,29,44.827586206896555,-4.381781392021032,89.99523293881337,6.451100000000001,-481.75444533207303,0.003472222222222222,0.022319447869045318
AMAT/KLAC,10,2.5,taker,35,17.142857142857142,-19.684156872480216,-389.3285577908691,-3.2317,-427.26975055516107,0.003472222222222222,-0.06092939906830806
AMAT/KLAC,10,2.5,maker,35,42.857142857142854,-3.6841568724802176,170.67144220913096,-3.2317,-411.26975055516107,0.003472222222222222,0.0267098526522929
TSM/EWT,5,2.0,taker,46,65.21739130434783,70.70793885357227,2523.23645390813,-3.9274,-258.32554103891493,0.2152777777777778,0.4567828011872476
TSM/EWT,5,2.0,maker,46,69.56521739130434,86.70793885357227,3259.23645390813,-3.9274,-242.3255410389149,0.2152777777777778,0.5900212621143245
TSM/EWT,5,2.5,taker,34,58.82352941176471,63.37059247907217,2060.09328689867,7.3286,-188.18821569903247,0.3506944444444444,0.48498298593612993
TSM/EWT,5,2.5,maker,34,61.76470588235294,79.37059247907217,2604.09328689867,7.3286,-172.18821569903247,0.3506944444444444,0.6130503632860334
