a,b,corr,n,halflife_h,spread_std_bps
SNDK,SNXX,0.9954726902765826,208,163.26976691661633,669.1384124014342
MRVL,MVLL,0.9953013901597136,268,164.1615972059178,1108.9481568807475
INTC,INTW,0.9947137338664753,208,79.57575499461119,196.76892911106285
QQQ,TQQQ,0.987959188014756,268,149.10947865932562,566.9533101997451
MVLL,SOXL,0.9244095610010146,268,168.85348424883594,605.4497640672475
DRAM,MU,0.9166409750648741,499,172.3251647316054,252.50192610620522
DRAM,EWY,0.9152994043474998,499,183.03642074543075,607.783473522143
QQQ,SPY,0.8940915489711267,499,403.4354190606899,137.49802462895897
EWY,SAMSUNG,0.8865051688416489,433,67.17453548766048,228.84581060424975
COHR,LITE,0.8802496596301894,472,336.1909986627182,826.2678139389358
AMAT,LRCX,0.878270500899417,310,38.69569927874351,215.7502817119437
MU,SNXX,0.8773351276866528,208,176.54080488495597,1094.5445416177731
DRAM,SAMSUNG,0.876204798680157,433,101.14916186196872,272.5333189889492
DRAM,SKHYNIX,0.8684302550948153,433,126.8432026615227,396.50963374458956
LRCX,SOXL,0.8665378087371629,310,110.01239230872282,897.7632494486114
DRAM,SKHY,0.8651048817159863,202,33.62241804933804,121.09022376315009
ALAB,MVLL,0.861323721047792,268,127.72215663451959,1278.2590737444
SOXL,TQQQ,0.8612273816780093,268,123.3160250848717,858.4100076156958
DRAM,SNXX,0.8604724121263181,208,169.50822946308048,911.4166858903576
AMD,SOXL,0.8604049631062579,499,551.3403669503867,1408.3232544336042
SKHYNIX,SKHY,0.8589558132146474,202,37.632827792708014,63.06889381986911
SAMSUNG,SKHYNIX,0.8581253994491294,433,359.5592527708122,578.9395060517535
QQQ,SOXL,0.8576211811522875,499,334.00656298255757,1555.0832377644117
CRDO,MVLL,0.8571108441791038,268,151.6770869003294,1070.7697905546142
STXX,WDC,0.8557382276249805,377,469.7232533848068,506.77952665264763
INTW,SOXL,0.855101549253396,208,25.897377420084638,252.82418646015157
EWY,SKHYNIX,0.8546104706456623,433,457.5887315097858,580.7253420545841
SPY,TQQQ,0.8539903069523946,268,149.49906094542592,694.1540356067935
MU,SOXL,0.8500244283395367,499,407.83841237187323,891.5835281321347
DRAM,SOXL,0.8431720028618075,499,252.93648662617395,833.9119882974625
INTC,MVLL,0.8362115536460683,268,141.924561565906,1356.7548773930805
INTW,MVLL,0.8319210314230088,208,50.99942533568845,244.73652580298258
KLAC,LRCX,0.8305806779920522,310,60.72490023313959,411.3790402751451
AMAT,KLAC,0.8304498191048356,310,67.65069750547015,324.0477214981394
EWY,SKHY,0.8303660975489757,202,69.73487775466963,243.42601645543314
INTW,MRVL,0.8293991739552105,208,62.49380308276176,242.55651206556809
MU,SNDK,0.8263982407141641,499,315.6010050169457,741.3675616714925
ASML,LRCX,0.8263136852761068,310,193.55261999667752,450.79177920969374
DRAM,SNDK,0.8244472502782292,499,148.75951935162078,658.2974396622252
SNXX,SOXL,0.8240505065445689,208,166.7239324957831,1158.4833504750038
ALAB,SOXL,0.8234164266350783,310,91.78488326423171,796.8954740595058
ALAB,CRDO,0.8207765776886354,310,1534.8953076105977,589.9509407114848
ASML,SOXL,0.8169025469685013,377,481.7590010123332,1246.812712444967
MVLL,TQQQ,0.8160408797701615,268,152.21556268657787,1379.2630602672555
MVLL,QQQ,0.814833398524861,268,155.24014880248612,1934.0165282035646
MRVL,TQQQ,0.8134006236379495,268,120.80390627455294,293.8662946412007
ALAB,MRVL,0.8132753736749032,310,89.7511803220239,369.2477305866483
SNXX,WDC,0.8107081339992366,208,164.12736480399096,982.8858736198409
MU,MVLL,0.8102950013411533,268,203.3707542490586,1612.3730653537245
AMAT,SOXL,0.8089178038236755,395,276.0692276417874,945.3322022836923
