,AAOI,AAPL,ADBE,ALAB,AMAT,AMD,AMZN,ANTHROPIC,APP,ARM,ASML,ASTS,AVGO,AXTI,BABA,BBX,BE,BMNR,BNC,BOT,BRKB,BSP,BX,CAT,CBRS,CIEN,COHR,COIN,COST,CRCL,CRDO,CRM,CRWD,CRWV,CSCO,DELL,DIS,DKNG,DRAM,EBAY,EWJ,EWT,EWY,EWZ,FLEX,FLNC,FWDI,GEV,GLW,GME,GOOGL,HD,HIMS,HK0700,HK1810,HOOD,HPE,HYUNDAI,IBM,INTC,INTW,IREN,IWM,JPM,KLAC,KORU,KSTR,LITE,LLY,LRCX,META,MINIMAX,MRVL,MSFT,MSTR,MU,MUU,MVLL,NBIS,NFLX,NOK,NOW,NVDA,NVO,ONDS,OPENAI,ORCL,PANW,PAYP,PENG,PLTR,POPMART,QCOM,QNTX,QQQ,RIVN,RKLB,SAMSUNG,SHAZ,SKHYNIX,SKHY,SMCI,SNDK,SNOW,SNXX,SOFI,SONY,SOXL,SOXS,SPCX,SPY,SQQQ,STRC,STXX,TENCENT,TER,TQQQ,TSLA,TSM,TTWO,TXN,TZA,UBER,URNM,USAR,UVXY,VRT,V,WDC,WEN,WMT,XBI,XLE,ZHIPU,ZM
2026-05-22 00:00:00+00:00,,306.0,,,,454.77,269.02,,,,,,417.26,,131.03,,,,,,480.0,,,,284.36,,,194.55,,116.5,,,,110.26,118.71,,103.76,,53.68,,91.84,,185.81,,,20.59,,,,,390.26,313.76,,,,76.47,,,,119.42,,,,303.23,,,,972.17,,,608.5,,193.85,421.19,166.24,759.11,,,,,,,220.61,,,,191.48,,19.43,,138.11,,217.25,,717.86,,131.18,,,,,,1534.02,,,,,181.6,,209.1,745.21,,,,,,,419.56,407.64,,,,73.78,,24.65,,,331.33,,,122.16,,,,
2026-05-22 04:00:00+00:00,,305.77,,,,456.84,268.92,,,,,,417.87,,130.0,,,,,,479.93,,,,285.52,,,194.37,,116.53,,,,110.79,118.64,,103.67,,53.76,,91.49,,185.59,,,20.48,,,,,390.47,314.51,,,,76.4,,,,119.58,,,,303.33,,,,981.16,,,608.62,,194.83,421.59,165.43,761.14,,,,,,,220.95,,,,191.18,,19.47,,138.25,,216.7,,718.21,,130.83,,,,,,1536.72,,,,,182.55,,208.53,745.31,,,,,,,420.55,409.84,,,,73.86,,24.48,,,330.7,,,122.07,,,,
2026-05-22 08:00:00+00:00,,305.43,,,,459.59,268.21,,,,,,416.21,,126.5,,,,,,480.18,,,,283.8,,,193.97,,115.67,,,,108.22,119.02,,103.84,,53.32,,91.14,,185.24,,,20.28,,,,,388.67,314.24,,,,76.27,,,,119.01,,,,303.71,,,,952.84,,,607.03,,195.04,419.83,164.97,755.9,,,,,,,220.45,,,,190.06,,19.59,,137.76,,214.91,,716.45,,129.24,,,,,,1516.95,,,,,181.31,,207.99,744.64,,,,,,,419.17,408.01,,,,73.81,,24.44,,,331.66,,,122.06,,,,
2026-05-22 12:00:00+00:00,,310.0,,,,471.4,269.39,,,,,,413.25,,130.09,,,,,,485.76,,,,271.55,,,188.46,,115.13,,,,107.16,120.44,,103.57,,53.62,,91.76,,185.46,,,21.22,,,,,387.1,313.37,,,,74.41,,,,121.06,,,,305.95,,,,961.09,,,609.98,,196.13,420.12,162.44,765.92,,,,,,,217.4,,,,192.95,,19.34,,136.56,,239.33,,720.11,,137.69,,,,,,1504.56,,,,,191.86,,201.21,747.43,,,,,,,428.99,406.34,,,,73.32,,25.61,,,329.58,,,120.22,,,,
2026-05-22 16:00:00+00:00,,308.91,,,,467.88,266.54,,,,,,414.2,,130.07,,,,,,486.57,,,,256.93,,,185.03,,113.26,,,,105.56,120.45,,103.05,,52.82,,91.6,,182.11,,,21.51,,,,,383.56,313.02,,,,73.69,,,,119.94,,,,306.35,,,,946.91,,,610.69,,196.52,419.0,159.95,752.15,,,,,,,215.49,,,,192.12,,19.13,,136.9,,238.18,,717.1,,135.76,,,,,,1479.52,,,,,190.67,,196.97,745.3,,,,,,,426.04,404.7,,,,71.88,,25.3,,,329.03,,,120.28,,,,
2026-05-22 20:00:00+00:00,,308.32,,,,462.71,265.56,,,,,,413.36,,129.52,,,,,,485.27,,,,252.92,,,184.1,,112.46,,,,104.4,120.16,,102.1,,52.63,,91.55,,182.17,,,21.33,,,,,382.73,312.11,,,,73.36,,,,118.32,,,,306.33,,,,935.04,,,608.24,,195.21,418.25,158.68,745.25,,,,,,,214.46,,,,190.93,,19.11,,136.01,,237.68,,715.0,,134.14,,,,,,1469.14,,,,,188.44,,196.01,743.51,,,,,,,423.72,403.36,,,,71.93,,25.29,,,326.41,,,119.64,,,,
2026-05-23 00:00:00+00:00,,308.0,,,,464.54,265.6,,,,,,413.33,,129.4,,,,,,487.15,,,,250.81,,,184.8,,112.91,,,,103.77,120.73,,103.79,,52.44,,91.19,,180.43,,,21.56,,,,,382.91,315.22,,,,73.4,,,,118.71,,,,307.23,,,,941.47,,,608.15,,194.91,418.22,158.81,748.25,,,,,,,214.12,,,,191.31,,19.46,,136.09,,240.82,,715.46,,133.81,,,,,,1481.16,,,,,189.6,,197.42,743.81,,,,,,,424.35,404.59,,,,71.98,,25.27,,,329.39,,,120.5,,,,
2026-05-23 04:00:00+00:00,,307.0,,,,459.62,264.48,,,,,,412.43,,129.09,,,,,,487.39,,,,249.58,,,181.5,,111.22,,,,103.71,120.02,,102.32,,51.33,,90.87,,178.42,,,21.03,,,,,381.63,310.92,,,,72.85,,,,117.52,,,,306.45,,,,931.72,,,606.55,,193.78,416.8,155.61,740.19,,,,,,,213.72,,,,190.36,,19.43,,135.47,,237.2,,713.13,,134.03,,,,,,1469.29,,,,,188.21,,198.21,741.72,,,,,,,421.08,403.15,,,,71.82,,25.13,,,326.47,,,119.7,,,,
2026-05-23 08:00:00+00:00,,307.23,,,,461.13,264.9,,,,,,411.61,,129.51,,,,,,486.43,,,,247.9,,,181.94,,111.57,,,,104.23,119.85,,103.43,,51.46,,90.72,,179.16,,,21.51,,,,,381.94,312.53,,,,72.91,,,,117.31,,,,308.16,,,,939.29,,,606.79,,193.8,417.29,155.52,744.31,,,,,,,213.98,,,,190.66,,19.46,,135.43,,238.33,,713.47,,135.64,,,,,,1474.23,,,,,188.88,,199.59,741.77,,,,,,,422.36,402.4,,,,71.87,,25.49,,,330.02,,,119.55,,,,
2026-05-23 12:00:00+00:00,,309.48,,,,467.0,266.72,,,,,,415.89,,130.0,,,,,,486.37,,,,251.7,,,184.2,,112.9,,,,105.89,120.87,,103.9,,52.29,,90.84,,181.7,,,21.68,,,,,384.32,315.75,,,,73.88,,,,119.05,,,,312.14,,,,946.42,,,611.76,,195.85,419.2,157.69,753.84,,,,,,,216.03,,,,192.55,,19.65,,136.99,,241.37,,718.89,,137.11,,,,,,1490.01,,,,,189.65,,202.19,746.72,,,,,,,426.08,406.59,,,,72.11,,25.68,,,331.58,,,119.57,,,,
