sym,day,ah_perp%,ah_stock%,xc_lag0,xc_best_lag_bars,xc_best,xc_p_leads1,xc_s_leads1,t50_perp,t50_stock,t80_perp,t80_stock,basis_2355_bps,dead_perp%,dead_stock%,basis_0745_bps,rth_next_perp%
COIN,2026-04-07,4.132475632366717,4.099412013614323,0.8975912553391774,0,0.8975912553391774,0.24494841692854677,0.19249106938735086,155,155,170,170,2.173794911008997,-0.4897968975546618,,,-5.442462317251494
HOOD,2026-04-07,6.8066649308853755,6.825558132988885,0.9381902143918638,0,0.9381902143918638,0.07260353865418735,0.10212482523494285,155,155,175,170,26.78453456121055,0.5879225913862918,,,-5.6795037528858385
MSTR,2026-04-07,5.3448432973602245,5.0206622113510235,0.9431852523686062,0,0.9431852523686062,0.16052194861569374,0.10040244157757498,150,155,170,170,25.97999474583723,0.5110808637907027,,,-2.629909354701548
MU,2026-04-07,6.234472992613682,6.033049981904703,0.9837989644122801,0,0.9837989644122801,-0.1928594075579823,-0.1737771335660126,155,155,175,175,16.173784582536044,1.6660694712634871,1.125159915940177,53.346510949685566,-1.1360288301839974
SNDK,2026-04-07,5.238828568242049,5.192423134983848,0.9512759384315893,0,0.9512759384315893,-0.08976466391796631,0.036542746205616726,155,155,175,175,15.434155116862414,2.0359976863922213,,,-2.4826976463565398
HOOD,2026-04-14,4.335885728393052,4.471536558622091,0.9806388137045707,0,0.9806388137045707,-0.00038576021180227664,0.0707738050951378,120,120,125,125,-7.2507556046730315,-0.6895327628519077,,,5.552408037486873
TSLA,2026-04-22,-4.395811892541079,-4.477585550731966,0.9958393539645561,0,0.9958393539645561,0.13209259761530323,0.09817924530216708,100,100,115,110,11.642197809393906,-1.7527378096944268,,,-1.4041185683439144
HOOD,2026-04-28,-11.174108266072746,-11.009328444181055,0.9962753819573319,0,0.9962753819573319,0.18564255401834714,0.136410748343335,5,5,15,85,14.772043242183841,-0.26845653706688566,,,-1.7938324293101937
SNDK,2026-04-28,4.422097618690035,4.22171674490146,0.9735531518655621,0,0.9735531518655621,0.18918669974755928,0.23789107948532584,10,10,65,65,16.04830117846845,-0.03622532189586636,,,-0.9305170948479116
SNDK,2026-04-30,-5.290780321926913,-5.265318406127317,0.9903426050153624,0,0.9903426050153624,0.25146955863537324,0.23380559971702072,5,5,5,5,0.5819423296760107,0.23457533815696152,,,10.876131976922503
MSTR,2026-05-05,-4.214721877875327,-4.216337634445644,0.9599840857925673,0,0.9599840857925673,0.08766657119261537,-0.03438585973197563,150,145,155,155,3.9142226574018224,1.3636201548007598,,,-0.7202528002193107
MU,2026-05-05,5.205241112359893,5.224706168454496,0.9759731737273097,0,0.9759731737273097,0.11760222836421842,0.04741075225150848,105,105,145,145,7.2484674145023575,-0.183361480410138,-0.3421085198246132,23.264267258946703,0.9768951257905197
COIN,2026-05-07,-5.118737958911712,-5.346602745305251,0.8579206574913922,0,0.8579206574913922,0.3398989864882442,0.24836745504792568,15,15,20,20,11.95587338765236,-0.21607614284233634,,,8.237149912244089
ORCL,2026-06-03,-4.741655246018173,-4.530166745241804,0.9747808237178645,0,0.9747808237178645,-0.1771288491762871,-0.1513301124201794,35,40,80,90,2.728388903285861,2.3439798575611626,2.5544745463988328,-11.068069751916099,4.18554259393064
ORCL,2026-06-10,-11.085268451311414,-10.91897605030665,0.9795584711977992,0,0.9795584711977992,-0.07240849583596302,-0.08617652885199421,45,45,155,155,-12.169489277074064,-0.14446052073333604,-0.2831054653928966,-2.2238283296172057,4.294457725574301
MU,2026-06-24,10.03768839450645,9.677010688593146,0.9971468718024631,0,0.9971468718024631,-0.18340792163680836,-0.17251443852053347,5,5,25,35,4.529601019607199,2.252995149581416,2.3611601174818198,-7.428640981128609,-2.8737260304588865
SNDK,2026-06-24,7.880190468472392,7.8724705920034665,0.991646570216157,0,0.991646570216157,0.04560955573583285,0.03162812468440536,15,15,20,20,4.69475938684738,-0.21682091463057773,-0.27932979056126683,8.900466813557273,2.9559917408862066
