type,key,mode,t_in,t_out,days,notional,prem_in,prem_out,dir,basis_bps,fund_bps,cost_bps,net_bps,pnl_usd,open_at_end
A,ZHIPU@BN,prem,2026-07-23 03:55:00+00:00,2026-07-23 06:05:00+00:00,0.09,540503.533857882,43.5,-22.2,1,65.7,0.0,28.2,37.5,2026.0,
A,TSM@HL,prem,2026-07-23 15:20:00+00:00,2026-07-23 16:10:00+00:00,0.03,1369000.0,19.3,-4.6,1,23.9,0.1,19.399024467217423,4.7,639.0,
A,GOOGL@HL,prem,2026-07-23 15:10:00+00:00,2026-07-23 16:25:00+00:00,0.05,1500000.0,38.4,-8.3,1,46.7,0.5,16.921269308645982,30.3,4552.0,
A,MINIMAX@BN,prem,2026-07-23 02:35:00+00:00,2026-07-24 06:20:00+00:00,1.16,296402.685705,39.8,-9.3,1,49.1,14.2,28.2,35.1,1042.0,
A,BOT@BN,prem,2026-07-23 14:30:00+00:00,2026-07-24 15:55:00+00:00,1.06,68463.276612066,77.4,-0.2,1,77.6,13.9,4.771990032039872,86.7,594.0,
A,NBIS@HL,prem,2026-07-24 15:05:00+00:00,2026-07-24 16:25:00+00:00,0.06,165402.68570500053,139.4,-6.8,1,146.2,0.1,74.14836644771992,72.2,1194.0,
A,INTC@HL,prem,2026-07-24 15:05:00+00:00,2026-07-24 16:50:00+00:00,0.07,1500000.0,62.0,1.6,1,60.4,0.1,40.39274941704986,20.1,3013.0,
A,LITE@HL,prem,2026-07-24 15:05:00+00:00,2026-07-24 19:55:00+00:00,0.2,1500000.0,122.3,-11.8,1,134.1,0.3,55.916166603102276,78.4,11767.0,
A,BOT@BN,prem,2026-07-24 18:00:00+00:00,2026-07-27 16:05:00+00:00,2.92,88127.175,36.3,-2.0,1,38.3,-10.7,4.771990032039872,22.8,201.0,
A,NFLX@HL,prem,2026-07-27 15:05:00+00:00,2026-07-27 16:10:00+00:00,0.05,691000.0,22.3,-8.2,1,30.5,0.3,22.216516249398335,8.6,595.0,
A,BOT@BN,prem,2026-07-27 18:10:00+00:00,2026-07-27 18:55:00+00:00,0.03,81835.154374785,33.2,-2.0,1,35.2,0.0,4.771990032039872,30.4,249.0,
A,MRVL@HL,prem,2026-07-27 15:50:00+00:00,2026-07-27 19:50:00+00:00,0.17,1500000.0,66.5,-1.9,1,68.3,0.6,43.88910915262969,25.0,3747.0,
A,BOT@BN,prem,2026-07-28 14:30:00+00:00,2026-07-28 14:55:00+00:00,0.02,79434.34501215299,20.5,4.3,1,16.2,0.0,4.771990032039872,11.4,91.0,
A,BOT@BN,prem,2026-07-28 17:15:00+00:00,2026-07-28 18:10:00+00:00,0.04,79371.35145,23.5,-3.9,1,27.4,0.0,4.771990032039872,22.6,179.0,
A,AXTI@BN,prem,2026-07-23 15:50:00+00:00,2026-07-28 19:25:00+00:00,5.15,212052.74563293438,20.8,-2.4,1,23.2,-1.2,3.241043418568732,18.8,398.0,
A,TENCENT@BN,prem,2026-07-23 02:35:00+00:00,2026-07-29 06:25:00+00:00,6.16,54081.29205,43.2,-1.5,1,44.7,34.5,28.2,51.0,276.0,
A,SAMSUNG@HL,prem,2026-07-29 03:05:00+00:00,2026-07-30 01:55:00+00:00,0.95,1500000.0,125.2,-44.1,1,169.3,25.8,77.8732449274591,117.2,17582.0,
A,POPMART@BN,prem,2026-07-29 05:05:00+00:00,2026-07-30 06:30:00+00:00,1.06,55823.8779728745,,-1.1,1,,34.3,28.2,,,
A,MU@HL,prem,2026-07-29 19:40:00+00:00,2026-07-30 15:05:00+00:00,0.81,1023604.8662905083,80.0,-31.8,1,111.9,5.3,42.78564559816245,74.4,7612.0,
A,SHAZ@HL,fat,2026-07-29 15:05:00+00:00,2026-07-30 16:05:00+00:00,1.04,716000.0,84.0,-98.1,1,182.1,38.0,81.63887409315862,138.4,9911.0,
