slot,n,abs_dspread,mean_dspread,abs_r_bn_bps,abs_r_hl_bps,hhmm
0,1470,4.136,-0.004,25.59,25.628,00:00
30,1505,3.857,0.026,19.697,19.405,00:30
60,1497,3.486,-0.19,20.192,20.493,01:00
90,1504,3.532,0.077,18.338,18.471,01:30
120,1490,3.033,0.067,16.073,15.978,02:00
150,1481,3.181,-0.02,12.972,12.685,02:30
180,1483,2.727,-0.014,13.17,13.181,03:00
210,1483,2.901,0.118,11.517,11.57,03:30
240,1479,2.768,-0.004,13.042,12.918,04:00
270,1475,2.715,-0.029,11.85,11.784,04:30
300,1492,2.937,-0.093,12.772,12.959,05:00
330,1491,2.883,-0.0,11.827,11.845,05:30
360,1489,2.886,0.189,11.18,11.42,06:00
390,1490,2.598,-0.105,12.845,12.829,06:30
420,1502,2.843,-0.089,11.306,11.586,07:00
450,1502,2.573,0.059,9.104,9.127,07:30
480,1514,3.17,0.059,23.597,23.664,08:00
510,1514,2.765,-0.022,13.594,13.769,08:30
540,1514,2.75,0.02,14.699,14.647,09:00
570,1511,2.493,0.018,11.376,11.617,09:30
600,1510,2.63,0.103,13.838,13.773,10:00
630,1500,2.68,-0.048,12.965,13.079,10:30
660,1508,2.921,-0.151,17.486,17.82,11:00
690,1512,2.971,0.144,16.374,16.51,11:30
720,1513,3.076,-0.068,18.104,18.191,12:00
750,1512,3.228,0.031,18.305,18.194,12:30
780,1518,3.351,0.097,23.224,23.437,13:00
810,1518,5.66,-0.026,70.144,70.644,13:30
840,1518,5.218,-0.123,45.086,45.375,14:00
870,1516,4.218,-0.223,32.351,32.505,14:30
900,1518,4.012,0.111,29.703,29.318,15:00
930,1514,3.633,0.055,24.336,24.529,15:30
960,1514,3.764,-0.077,23.452,23.382,16:00
990,1518,3.501,-0.047,19.938,19.894,16:30
1020,1518,3.322,-0.05,18.688,18.864,17:00
1050,1520,3.134,0.088,15.299,15.289,17:30
1080,1555,3.12,0.066,18.257,18.359,18:00
1110,1594,3.121,-0.109,16.594,16.719,18:30
1140,1608,3.917,0.127,20.496,20.475,19:00
1170,1606,3.999,0.153,26.832,27.084,19:30
1200,1607,3.589,-0.211,23.321,23.432,20:00
1230,1610,2.848,-0.137,12.858,12.804,20:30
1260,1612,2.586,0.151,11.457,11.39,21:00
1290,1592,2.477,-0.006,10.706,10.777,21:30
1320,1612,2.504,-0.002,11.829,11.93,22:00
1350,1591,2.448,-0.114,11.782,11.769,22:30
1380,1583,2.573,0.079,12.012,11.908,23:00
1410,1603,2.44,-0.028,10.881,10.904,23:30
