hl,bn,days,bn_apr,hl_apr,diff_apr,diff_apr_30d,diff_std_apr,diff_rho1,diff_rho3,same_sign_share,bn_zero_share,bn_at_cap_share,hl_at_base_share,gross_apr,direction,fee_rt_taker_bps,breakeven_days_taker,breakeven_days_maker,net_apr_30d_hold_taker
SNDK,SNDK,128.0,13.44,7.14,6.3,-3.53,72.69,0.452,0.044,0.53,0.51,0.0,0.27,6.3,long HL / short BN,9.8,5.677777777777778,1.042857142857143,5.107666666666667
SPCX,SPCX,85.0,7.01,6.23,0.78,-5.21,19.1,0.234,0.251,0.59,0.43,0.0,0.16,0.78,long HL / short BN,9.8,45.85897435897436,8.423076923076923,-0.41233333333333344
SKHX,SKHYNIX,104.3,40.99,49.93,-8.94,-20.42,128.22,-0.119,0.122,0.58,0.32,0.0,0.09,8.94,long BN / short HL,9.8,4.001118568232662,0.7348993288590605,7.747666666666666
DRAM,DRAM,88.3,19.56,19.9,-0.34,-7.35,36.76,-0.183,0.114,0.63,0.45,0.0,0.26,0.34,long BN / short HL,9.8,105.20588235294117,19.323529411764707,-0.8523333333333334
MU,MU,129.7,20.25,15.15,5.1,-6.25,76.8,0.438,0.078,0.42,0.41,0.0,0.26,5.1,long HL / short BN,9.8,7.013725490196078,1.2882352941176474,3.907666666666666
SKHY,SKHY,35.0,-7.77,-9.47,1.7,2.93,33.47,-0.04,0.067,0.57,0.58,0.0,0.22,1.7,long HL / short BN,9.8,21.041176470588233,3.864705882352941,0.5076666666666665
INTC,INTC,163.7,5.26,9.79,-4.53,-12.95,90.59,0.371,-0.001,0.64,0.56,0.0,0.36,4.53,long BN / short HL,9.8,7.896247240618102,1.4503311258278146,3.337666666666667
TSLA,TSLA,163.7,0.89,3.89,-2.99,-7.2,80.07,0.401,0.037,0.53,0.6,0.0,0.45,2.99,long BN / short HL,9.8,11.963210702341136,2.197324414715719,1.7976666666666667
NBIS,NBIS,65.7,10.29,24.79,-14.5,-6.32,45.92,0.23,0.016,0.76,0.66,0.0,0.24,14.5,long BN / short HL,9.8,2.4668965517241377,0.4531034482758621,13.307666666666666
NVDA,NVDA,143.3,6.06,10.18,-4.12,-7.09,82.61,0.489,0.057,0.64,0.51,0.0,0.44,4.12,long BN / short HL,9.8,8.682038834951456,1.5946601941747574,2.9276666666666666
SMSN,SAMSUNG,106.3,25.35,32.61,-7.26,-15.36,111.86,-0.059,0.026,0.59,0.38,0.0,0.09,7.26,long BN / short HL,9.8,4.926997245179064,0.9049586776859505,6.067666666666666
GOOGL,GOOGL,143.3,11.07,9.73,1.34,-7.66,60.36,0.517,0.125,0.4,0.5,0.0,0.41,1.34,long HL / short BN,9.8,26.694029850746265,4.902985074626866,0.1476666666666666
EWY,EWY,151.7,-4.53,4.35,-8.87,-0.07,108.15,0.423,-0.117,0.59,0.56,0.0,0.36,8.87,long BN / short HL,9.8,4.032694475760993,0.7406989853438558,7.677666666666665
CRCL,CRCL,163.7,15.91,12.49,3.42,-8.06,145.64,0.335,0.017,0.46,0.4,0.0,0.3,3.42,long HL / short BN,9.8,10.459064327485379,1.9210526315789473,2.2276666666666665
AMD,AMD,99.7,12.48,8.52,3.96,-6.9,38.04,0.452,0.237,0.35,0.62,0.0,0.43,3.96,long HL / short BN,9.8,9.032828282828284,1.6590909090909094,2.7676666666666665
CBRS,CBRS,87.3,5.74,-13.19,18.93,21.84,37.25,0.073,0.132,0.75,0.63,0.0,0.16,18.93,long HL / short BN,9.8,1.8895932382461702,0.347068145800317,17.737666666666666
MSTR,MSTR,163.7,1.76,5.04,-3.28,-11.06,187.73,0.341,0.031,0.6,0.56,0.002,0.36,3.28,long BN / short HL,9.8,10.90548780487805,2.003048780487805,2.0876666666666663
MRVL,MRVL,93.7,14.9,20.85,-5.94,-9.82,33.8,-0.049,-0.073,0.71,0.58,0.0,0.23,5.94,long BN / short HL,9.8,6.021885521885522,1.106060606060606,4.747666666666667
AAPL,AAPL,141.0,2.67,-1.52,4.19,0.08,26.05,0.284,0.038,0.51,0.76,0.0,0.46,4.19,long HL / short BN,9.8,8.536992840095463,1.5680190930787588,2.997666666666667
MSFT,MSFT,126.0,9.66,8.82,0.84,-4.36,32.14,0.354,0.071,0.35,0.64,0.0,0.46,0.84,long HL / short BN,9.8,42.583333333333336,7.821428571428573,-0.3523333333333335
COIN,COIN,163.7,-1.38,6.22,-7.61,-9.59,166.69,0.297,0.056,0.69,0.65,0.0,0.45,7.61,long BN / short HL,9.8,4.700394218134034,0.8633377135348226,6.417666666666667
SOXL,SOXL,8.0,-0.39,3.25,-3.64,-3.64,25.78,-0.156,0.325,0.71,0.71,0.0,0.33,3.64,long BN / short HL,9.8,9.826923076923077,1.804945054945055,2.4476666666666667
