hl,thr,seg,t_sig,dev_sig,dev_ent,side,hold_min,exit,gross_bps,funding_bps,net_tt,net_mt,mae_bps,widen_bn_bps,widen_hl_bps,hold_bn_bps,hold_hl_bps
SKHX,15.0,KR_DEAD,2026-07-29 18:55:00+00:00,-16.6,-14.6,1,60,converged,2.3,5.78,-1.7,6.3,9.7,0.0,0.0,-687.3,-689.5
SKHX,15.0,KR_DEAD,2026-07-29 20:05:00+00:00,-16.4,-17.2,1,55,converged,11.1,-10.93,-9.7,-1.7,2.9,-186.1,-181.1,-217.7,-228.7
SKHX,15.0,KR_DEAD,2026-07-29 22:55:00+00:00,16.9,2.7,-1,15,converged,-13.7,-9.25,-32.8,-24.8,13.4,-63.7,-71.1,-79.6,-93.3
SKHX,15.0,KRX,2026-07-30 00:40:00+00:00,18.0,17.1,-1,10,converged,11.1,0.0,1.3,9.3,0.0,-208.5,-218.2,141.5,152.6
SKHX,15.0,KRX,2026-07-30 01:30:00+00:00,-18.0,-19.8,1,150,converged,8.1,-20.11,-21.8,-13.8,17.3,288.6,295.8,-864.5,-872.6
SKHX,15.0,KRX,2026-07-30 05:40:00+00:00,-16.2,-12.8,1,60,converged,7.4,3.48,1.1,9.1,9.7,0.0,0.0,-215.7,-223.1
SKHX,15.0,KR_AH,2026-07-30 08:25:00+00:00,16.1,13.3,-1,110,converged,8.9,-8.09,-9.0,-1.0,4.6,-0.7,-2.1,280.3,289.2
SKHX,15.0,KR_DEAD,2026-07-30 11:05:00+00:00,-15.3,-19.4,1,715,converged,-1.5,-13.57,-24.8,-16.8,43.0,81.9,88.0,1186.2,1187.7
SKHX,15.0,KR_PRE,2026-07-30 23:55:00+00:00,-18.3,-23.0,1,45,converged,18.8,1.76,10.8,18.8,10.7,21.4,28.1,346.7,327.9
SKHX,15.0,KRX,2026-07-31 01:15:00+00:00,-15.6,-11.2,1,15,converged,9.5,0.0,-0.3,7.7,2.8,0.0,0.0,-232.2,-241.8
SKHX,15.0,KRX,2026-07-31 02:05:00+00:00,16.0,17.4,-1,60,converged,17.2,0.43,7.8,15.8,10.1,12.4,7.9,144.5,161.7
SKHX,15.0,KRX,2026-07-31 05:20:00+00:00,20.7,21.9,-1,70,converged,21.2,3.41,14.8,22.8,2.8,96.2,88.0,-188.5,-167.3
SKHX,15.0,KR_AH,2026-07-31 08:00:00+00:00,-29.6,-29.3,1,60,converged,28.8,-3.18,15.8,23.8,-0.0,0.0,0.0,124.5,95.7
SKHX,15.0,KR_DEAD,2026-07-31 12:00:00+00:00,-15.9,-18.5,1,205,converged,17.9,-18.14,-10.0,-2.0,24.6,-14.4,-11.0,-652.2,-670.1
SKHX,15.0,KR_DEAD,2026-07-31 16:00:00+00:00,-17.1,-9.5,1,95,converged,2.3,0.36,-7.1,0.9,17.8,0.0,0.0,157.7,155.4
SKHX,15.0,KR_DEAD,2026-07-31 18:45:00+00:00,-16.8,-16.1,1,55,converged,12.6,-2.7,0.1,8.1,0.9,40.3,47.0,-56.2,-68.8
SKHX,15.0,KR_DEAD,2026-07-31 20:00:00+00:00,-17.2,-17.9,1,95,converged,11.6,-3.78,-2.0,6.0,2.0,0.0,0.0,4.2,-7.4
SKHX,15.0,WKND,2026-08-02 02:10:00+00:00,15.0,4.2,-1,15,converged,5.7,0.0,-4.1,3.9,2.9,0.0,0.0,-56.5,-50.8
SKHX,15.0,WKND,2026-08-02 08:55:00+00:00,15.5,10.6,-1,40,converged,2.3,-2.13,-9.6,-1.6,0.0,-7.4,-12.4,-4.1,-1.8
SKHX,15.0,KRX,2026-08-03 00:55:00+00:00,15.7,17.1,-1,10,converged,8.2,-0.43,-2.1,5.9,0.0,48.4,43.3,-211.6,-203.4
SKHX,15.0,KRX,2026-08-03 01:45:00+00:00,15.7,8.5,-1,50,converged,3.8,-0.31,-6.3,1.7,5.3,-30.1,-33.4,59.0,62.8
SKHX,15.0,KRX,2026-08-03 04:00:00+00:00,16.1,13.5,-1,180,converged,5.2,-2.07,-6.7,1.3,5.4,-51.3,-56.6,-115.7,-110.5
SKHX,15.0,KR_AH,2026-08-03 07:10:00+00:00,15.4,13.7,-1,70,converged,12.2,-0.08,2.3,10.3,4.6,0.0,0.0,-152.8,-140.6
SKHX,15.0,KR_DEAD,2026-08-03 10:30:00+00:00,18.1,10.5,-1,295,converged,1.8,-13.95,-22.0,-14.0,21.6,-30.3,-40.0,33.7,35.4
SKHX,15.0,KRX,2026-08-04 01:05:00+00:00,17.9,2.0,-1,15,converged,-9.1,0.0,-18.9,-10.9,9.1,0.0,0.0,54.3,45.2
