hl,seg,n,corr_bn_lead,corr_hl_lead,corr_same,beta_bn_lead,t_bn_lead,beta_hl_lead,t_bn_on_hl
SNDK,AH,672,-0.004,-0.009,0.997,0.954,1.1,-0.558,-0.7
SNDK,DEAD,1248,-0.046,-0.052,0.996,-0.259,-0.6,0.645,1.6
SNDK,PRE,858,0.023,0.024,0.997,-0.215,-0.4,0.658,1.3
SNDK,RTH,1030,0.034,0.029,0.998,0.833,1.0,-0.299,-0.4
SNDK,WKND,1223,-0.023,-0.031,0.988,0.48,2.0,-0.033,-0.1
SPCX,AH,659,-0.103,-0.111,0.992,-0.238,-0.4,0.529,0.9
SPCX,DEAD,1248,-0.017,-0.02,0.985,0.121,0.6,0.302,1.6
SPCX,PRE,858,0.102,0.098,0.995,0.421,1.1,0.102,0.3
SPCX,RTH,1014,-0.026,-0.023,0.997,-0.083,-0.2,0.516,1.0
SPCX,WKND,1223,0.046,0.041,0.981,0.682,1.2,-0.2,-0.5
SKHX,KRX,1014,-0.042,-0.043,0.996,-0.391,-0.7,0.668,1.3
SKHX,KR_AH,390,0.024,0.023,0.99,0.283,0.7,0.006,0.0
SKHX,KR_DEAD,2233,0.022,0.017,0.993,0.528,2.1,-0.271,-1.0
SKHX,KR_PRE,168,-0.003,0.001,0.996,-1.18,-1.3,1.304,1.5
SKHX,WKND,1220,0.074,0.065,0.99,0.965,2.9,-0.581,-1.7
DRAM,AH,665,0.089,0.08,0.995,0.372,0.6,0.122,0.2
DRAM,DEAD,1248,-0.036,-0.042,0.996,0.2,0.4,0.233,0.5
DRAM,PRE,858,0.111,0.107,0.993,0.234,0.8,0.334,1.1
DRAM,RTH,1014,0.026,0.019,0.997,1.263,2.4,-0.727,-1.3
DRAM,WKND,1222,0.072,0.075,0.973,0.187,1.0,0.272,1.3
MU,AH,672,0.039,0.044,0.996,-0.744,-1.2,1.178,2.0
MU,DEAD,1248,-0.05,-0.053,0.996,0.456,1.1,-0.101,-0.2
MU,PRE,858,0.073,0.077,0.996,-0.48,-1.2,0.985,2.4
MU,RTH,1031,0.065,0.051,0.997,1.459,2.1,-0.986,-1.4
MU,WKND,1223,0.09,0.086,0.989,0.372,1.2,0.113,0.3
SKHY,AH,672,0.228,0.229,0.997,-1.266,-1.6,1.977,2.3
SKHY,DEAD,1248,-0.069,-0.072,0.996,-0.616,-1.3,0.993,2.0
SKHY,PRE,858,0.035,0.026,0.994,0.223,0.6,0.238,0.6
SKHY,RTH,1038,-0.025,-0.043,0.997,1.11,2.0,-0.707,-1.3
SKHY,WKND,1223,-0.077,-0.076,0.988,0.221,1.1,0.129,0.6
INTC,AH,666,0.04,0.021,0.986,0.489,2.0,0.004,0.0
INTC,DEAD,1236,0.031,0.024,0.972,0.442,2.9,0.064,0.4
INTC,PRE,858,0.03,0.026,0.988,0.306,1.4,0.223,1.0
INTC,RTH,1036,-0.077,-0.078,0.992,0.245,0.7,0.137,0.4
INTC,WKND,1074,0.061,0.031,0.942,0.522,4.7,0.023,0.2
TSLA,AH,669,0.212,0.2,0.97,0.375,1.9,0.272,1.3
TSLA,DEAD,1239,-0.073,-0.089,0.988,0.309,1.7,0.076,0.4
TSLA,PRE,858,0.094,0.063,0.981,0.864,4.1,-0.286,-1.4
TSLA,RTH,1037,-0.026,-0.035,0.99,0.26,0.7,0.152,0.4
TSLA,WKND,1209,0.036,0.01,0.922,0.312,3.6,0.061,0.7
NBIS,AH,669,0.066,0.05,0.983,0.194,0.8,0.252,0.9
NBIS,DEAD,1248,0.035,0.014,0.972,0.382,2.4,0.09,0.6
NBIS,PRE,858,0.009,0.003,0.987,0.296,1.3,0.168,0.7
NBIS,RTH,1044,0.063,0.062,0.99,0.574,2.2,0.005,0.0
NBIS,WKND,1168,0.096,0.17,0.784,0.036,1.2,0.022,0.1
NVDA,AH,672,0.074,0.072,0.986,0.328,0.9,0.168,0.5
NVDA,DEAD,1248,0.009,-0.008,0.979,0.375,2.3,0.016,0.1
NVDA,PRE,858,0.073,0.057,0.986,0.305,1.1,0.237,0.9
NVDA,RTH,1037,0.024,-0.001,0.992,1.58,4.3,-1.104,-3.2
NVDA,WKND,1218,0.205,0.175,0.944,0.438,3.4,0.095,0.9
SMSN,KRX,1014,-0.044,-0.053,0.995,0.399,1.0,-0.046,-0.1
SMSN,KR_AH,390,0.012,-0.029,0.988,0.687,1.6,-0.452,-1.1
SMSN,KR_DEAD,2225,0.021,0.016,0.989,0.717,4.0,-0.303,-1.7
SMSN,KR_PRE,168,0.163,0.141,0.993,0.716,0.9,-0.491,-0.7
SMSN,WKND,1175,0.025,0.027,0.972,0.58,2.9,-0.109,-0.7
GOOGL,AH,666,0.129,0.114,0.973,0.336,1.9,0.229,1.2
GOOGL,DEAD,1248,-0.058,-0.092,0.959,0.335,3.0,-0.024,-0.2
GOOGL,PRE,858,0.027,-0.006,0.982,0.761,3.6,-0.367,-1.5
GOOGL,RTH,1032,0.166,0.16,0.992,0.291,0.6,0.307,0.7
GOOGL,WKND,1203,0.008,0.052,0.949,0.07,0.6,0.285,2.5
EWY,AH,662,0.011,0.011,0.986,0.229,0.9,0.209,0.8
EWY,DEAD,1248,-0.071,-0.071,0.99,-0.012,-0.0,0.424,1.7
EWY,PRE,858,0.071,0.068,0.982,0.405,2.1,0.128,0.7
EWY,RTH,1015,0.01,0.005,0.989,0.483,1.7,0.057,0.2
EWY,WKND,1023,0.105,0.038,0.935,0.627,5.8,-0.023,-0.2
CRCL,AH,666,0.053,0.037,0.976,0.472,2.2,0.029,0.1
CRCL,DEAD,1235,0.007,-0.034,0.959,0.502,4.6,-0.048,-0.5
CRCL,PRE,858,0.2,0.199,0.991,0.354,1.2,0.27,1.0
CRCL,RTH,1029,0.047,0.036,0.993,0.769,2.1,-0.246,-0.7
CRCL,WKND,1099,0.144,0.105,0.917,0.481,6.2,0.113,1.6
AMD,AH,640,-0.185,-0.165,0.992,0.142,0.3,0.217,0.5
AMD,DEAD,1174,0.063,0.037,0.974,0.47,2.9,0.024,0.2
