hl,seg,n_hours,idx_gap_mean,idx_gap_std,bn_prem_mean,bn_prem_absmax,hl_prem_mean,hl_prem_absmax,trade_gap_mean
SNDK,AH,56,8.4,9.8,2.1,52.3,1.2,16.2,9.4
SNDK,DEAD,104,8.9,6.4,2.2,29.7,1.4,24.1,10.5
SNDK,PRE,78,10.5,10.3,1.7,35.7,2.2,10.6,9.7
SNDK,RTH,79,10.7,7.1,-3.6,38.6,-0.6,18.5,7.3
SNDK,WKND,102,8.4,20.4,3.2,94.2,1.5,68.6,10.1
SPCX,AH,55,9.3,6.9,-2.0,38.5,-2.0,25.4,8.8
SPCX,DEAD,104,9.7,3.8,0.0,12.3,-1.3,11.7,11.0
SPCX,PRE,78,11.4,8.0,-0.8,23.8,-0.8,11.4,11.2
SPCX,RTH,78,11.2,4.3,-0.5,21.3,-1.1,13.5,11.4
SPCX,WKND,102,11.9,15.0,0.6,51.3,0.5,74.5,11.7
SKHX,KRX,91,4.3,30.9,23.9,130.3,20.0,156.1,10.3
SKHX,KR_AH,26,11.0,60.0,8.9,114.6,12.7,82.2,7.4
SKHX,KR_DEAD,186,4.5,58.2,7.1,247.1,7.0,182.0,5.6
SKHX,KR_PRE,14,55.7,59.7,-31.2,223.2,13.5,150.9,9.8
SKHX,WKND,102,-9.7,33.2,4.1,193.2,2.5,112.5,-7.9
DRAM,AH,55,8.8,11.6,2.2,36.8,2.2,10.8,9.4
DRAM,DEAD,104,10.2,7.4,3.6,18.6,3.0,32.7,11.1
DRAM,PRE,78,9.6,10.5,3.0,28.6,2.2,9.7,11.2
DRAM,RTH,78,9.6,4.1,1.6,15.0,2.8,10.7,8.7
DRAM,WKND,102,5.2,20.2,4.2,106.2,2.5,105.1,7.2
MU,AH,56,9.9,5.9,0.5,18.6,0.7,9.5,9.6
MU,DEAD,104,9.7,5.0,1.8,28.3,0.8,19.1,10.9
MU,PRE,78,9.7,9.1,2.6,32.9,1.9,14.2,10.4
MU,RTH,79,10.3,4.9,-1.2,21.6,1.2,23.0,8.1
MU,WKND,102,10.3,20.2,3.2,97.4,2.1,100.1,11.4
SKHY,AH,56,9.1,13.6,-1.5,43.2,-3.9,13.3,10.7
SKHY,DEAD,104,9.2,7.0,2.3,32.4,-1.4,29.4,13.4
SKHY,PRE,78,11.2,12.5,-0.4,57.4,-2.3,13.6,13.0
SKHY,RTH,80,10.0,7.0,-2.6,26.4,-5.0,15.7,11.9
SKHY,WKND,102,11.9,31.0,5.1,222.4,2.6,88.9,14.5
INTC,AH,56,9.8,6.0,3.6,16.4,3.9,10.1,10.0
INTC,DEAD,104,9.2,6.1,3.6,17.7,4.5,12.9,8.7
INTC,PRE,78,10.4,7.2,3.7,26.1,5.0,9.7,9.2
INTC,RTH,80,10.2,4.4,2.5,9.8,3.7,9.6,9.4
INTC,WKND,99,12.2,16.0,2.6,62.3,2.3,80.5,12.8
TSLA,AH,56,9.8,4.5,2.8,10.3,2.0,5.7,10.6
TSLA,DEAD,104,9.9,3.5,2.4,12.2,2.6,9.0,9.6
TSLA,PRE,78,10.1,4.8,2.5,18.1,2.6,7.3,10.3
TSLA,RTH,80,10.6,3.0,2.1,8.9,2.8,7.4,10.5
TSLA,WKND,102,10.3,6.8,1.0,23.0,1.1,27.2,10.2
NBIS,AH,56,9.2,14.0,3.1,31.6,1.2,20.6,11.0
NBIS,DEAD,104,8.1,9.6,3.5,17.4,1.7,67.7,10.5
NBIS,PRE,78,10.2,15.7,4.6,49.6,3.2,26.2,11.6
