hl,bn,seg,bars,mean_bps,std_bps,med_abs_bps,p99_abs_bps,max_abs_bps,adj_mean_bps,adj_std_bps,rho1,hl_bars,p_gt20,conv20_n,conv20_med_min,conv20_w60,p_gt50,conv50_n,conv50_med_min,conv50_w60,p_gt100,conv100_n,conv100_med_min,conv100_w60
SNDK,SNDK,AH,672,9.65,6.39,9.1,26.9,41.2,1.79,6.23,0.824,3.6,0.064,5,200.0,0.4,0.0,0,,,0.0,0,,
SNDK,SNDK,DEAD,1248,10.11,4.5,9.93,21.0,30.0,1.58,4.28,0.727,2.2,0.0208,6,82.5,0.33,0.0,0,,,0.0,0,,
SNDK,SNDK,PRE,858,10.12,4.54,9.94,21.8,25.4,1.38,4.32,0.686,1.8,0.0315,4,117.5,0.5,0.0,0,,,0.0,0,,
SNDK,SNDK,RTH,1032,7.39,4.88,7.56,20.9,28.2,-1.02,4.96,0.599,1.4,0.0116,7,20.0,1.0,0.0,0,,,0.0,0,,
SNDK,SNDK,WKND,1223,10.27,5.12,8.69,21.3,24.6,3.1,4.55,0.926,9.1,0.0294,2,815.0,0.5,0.0,0,,,0.0,0,,
SPCX,SPCX,AH,661,9.73,5.37,10.19,20.2,32.3,1.9,5.81,0.773,2.7,0.0121,3,10.0,0.67,0.0,0,,,0.0,0,,
SPCX,SPCX,DEAD,1248,10.96,3.41,11.01,18.7,20.2,2.43,3.73,0.746,2.4,0.0016,2,32.5,1.0,0.0,0,,,0.0,0,,
SPCX,SPCX,PRE,858,11.72,4.18,11.24,22.8,30.8,2.97,4.19,0.794,3.0,0.042,2,322.5,0.0,0.0,0,,,0.0,0,,
SPCX,SPCX,RTH,1014,11.08,4.81,11.41,22.7,33.7,2.69,4.6,0.656,1.6,0.0266,8,60.0,0.5,0.0,0,,,0.0,0,,
SPCX,SPCX,WKND,1223,11.78,5.21,11.96,20.2,23.7,4.61,4.28,0.901,6.6,0.0237,2,1422.5,0.5,0.0,0,,,0.0,0,,
SKHX,SKHYNIX,KRX,1014,9.98,11.4,10.39,47.4,71.8,1.48,11.18,0.879,5.4,0.1637,18,70.0,0.44,0.0079,1,55.0,1.0,0.0,0,,
SKHX,SKHYNIX,KR_AH,390,7.5,15.11,13.52,37.1,39.8,-1.22,14.91,0.939,11.1,0.2538,8,125.0,0.38,0.0,0,,,0.0,0,,
SKHX,SKHYNIX,KR_DEAD,2235,5.46,16.7,12.71,42.3,58.1,-2.91,16.4,0.967,20.6,0.2421,22,145.0,0.32,0.0031,3,55.0,0.67,0.0,0,,
