hl,seg,bars,dev_std,dev_p99,dev_hl_bars,p_gt10,p_gt20,p_gt50,conv20_n,conv20_med_min
SNDK,AH,624,6.402801993757901,21.59835212951886,3.9020050054206856,0.10416666666666667,0.011217948717948718,0.0,4,27.5
SNDK,DEAD,1214,4.015751676619294,12.185771574070635,1.8713119355700278,0.026359143327841845,0.0016474464579901153,0.0,1,30.0
SNDK,PRE,858,4.475416040735552,12.16754126857142,1.6482457884796298,0.038461538461538464,0.0011655011655011655,0.0,1,5.0
SNDK,RTH,1014,5.87579811956361,20.802375277589174,2.1366423665778536,0.10256410256410256,0.010848126232741617,0.0,3,120.0
SNDK,WKND,1223,3.2791483168943185,9.908201885064779,3.4877191681444986,0.008994276369582993,0.0,0.0,0,
SPCX,AH,624,5.331825521491092,15.206226710396987,2.7654161925044103,0.07852564102564102,0.003205128205128205,0.0,2,7.5
SPCX,DEAD,1185,3.536102521656894,9.411891969096368,2.721187726940248,0.00590717299578059,0.0,0.0,0,
SPCX,PRE,858,3.0686290708503434,8.925887402065726,1.4419001966745733,0.006993006993006993,0.0,0.0,0,
SPCX,RTH,1014,4.3686795361286785,13.797259787861412,1.240304977240977,0.027613412228796843,0.0,0.0,0,
SPCX,WKND,1223,2.928944372874054,7.518382885294049,1.8682608013962732,0.003270645952575634,0.0,0.0,0,
SKHX,KRX,977,12.071442598516684,33.06118990800732,6.170944102877146,0.43091095189355166,0.10644831115660185,0.0010235414534288639,13,70.0
SKHX,KR_AH,390,16.276932789858616,39.324228713621174,10.45743362240268,0.5,0.18717948717948718,0.0,5,75.0
SKHX,KR_DEAD,2184,13.230720148502202,47.24266705680295,12.706998442699486,0.3241758241758242,0.11721611721611722,0.00641025641025641,16,75.0
SKHX,KR_PRE,156,7.7618342630649435,18.078059557185757,2.7005682529128707,0.28205128205128205,0.00641025641025641,0.0,1,5.0
SKHX,WKND,1222,4.322016253711826,10.886198170923747,4.949768498198199,0.01718494271685761,0.0,0.0,0,
DRAM,AH,624,4.313602969234631,11.417952922090718,2.3490241193438943,0.02564102564102564,0.0,0.0,0,
DRAM,DEAD,1191,3.4355380290441855,9.166951590374346,1.1111584282477285,0.005877413937867338,0.0,0.0,0,
DRAM,PRE,858,2.7746881524985185,9.36366482924004,0.7423877574786789,0.008158508158508158,0.0011655011655011655,0.0,1,5.0
DRAM,RTH,1014,3.2720416202181353,9.002930449298542,0.8788894691605315,0.006903353057199211,0.0,0.0,0,
DRAM,WKND,1222,4.684075819302015,11.143734101833628,3.6287295957257237,0.0220949263502455,0.0024549918166939444,0.0,1,15.0
MU,AH,624,4.049541621503175,10.314131604126205,2.7350499874569936,0.01282051282051282,0.0,0.0,0,
MU,DEAD,1215,4.183813202207858,11.47105186392052,2.6969795707239896,0.019753086419753086,0.0,0.0,0,
MU,PRE,858,3.6674781967563623,9.383651626930215,1.791850801372605,0.006993006993006993,0.0,0.0,0,
MU,RTH,1014,3.887665583336297,11.58168996398077,1.2958215294372326,0.020710059171597635,0.0,0.0,0,
MU,WKND,1223,3.1181019787490456,7.900525006397834,4.771371665911389,0.001635322976287817,0.0,0.0,0,
SKHY,AH,624,4.531394647135822,12.061667458849685,2.466837361453268,0.038461538461538464,0.0,0.0,0,
SKHY,DEAD,1222,4.78144014881207,13.838042678254766,1.6730809210186595,0.04337152209492635,0.0,0.0,0,
SKHY,PRE,858,3.6373232418195744,11.410269913455783,1.060921058280675,0.019813519813519812,0.0,0.0,0,
SKHY,RTH,1014,5.347873974157073,18.063212596773564,1.9410839095899886,0.054240631163708086,0.007889546351084813,0.0,2,57.5
SKHY,WKND,1223,3.7154965871958017,10.367270746402074,3.380094730123272,0.011447260834014717,0.0,0.0,0,
INTC,AH,622,4.595816984631465,12.75955362288291,1.6561683860161156,0.022508038585209004,0.0,0.0,0,
INTC,DEAD,1216,4.465030570970935,14.93191220407233,0.45210774279688865,0.04029605263157895,0.001644736842105263,0.0,2,7.5
INTC,PRE,858,3.82796841680769,10.99372794931836,0.5551448037827189,0.018648018648018648,0.0,0.0,0,
INTC,RTH,1014,5.2434305472392175,14.797751005961945,0.8534292309973809,0.05917159763313609,0.0019723865877712033,0.0,2,5.0
INTC,WKND,1164,3.20374281087194,9.409408526950203,0.8916778683622155,0.006872852233676976,0.0,0.0,0,
TSLA,AH,623,2.6018456585447227,6.531672753607144,1.93428830084126,0.0,0.0,0.0,0,
TSLA,DEAD,1218,2.977899558554732,9.061701892385875,2.530140101139637,0.007389162561576354,0.0,0.0,0,
TSLA,PRE,858,2.0151034542677455,5.776975670608056,0.7213933943668989,0.0034965034965034965,0.0,0.0,0,
TSLA,RTH,1014,2.9433009192621493,8.131009585902362,0.8816288677726343,0.0019723865877712033,0.0,0.0,0,
TSLA,WKND,1218,2.746273189947789,7.486285423832778,3.302464316503422,0.0008210180623973727,0.0,0.0,0,
NBIS,AH,623,6.291050070170185,17.66402890989995,0.8370793715164316,0.08507223113964688,0.009630818619582664,0.0,6,5.0
