coin,fundingRate,premium,time,ts,rate,prem
xyz:CXMT,0.0000992812,0.1591499434,1784080800028,2026-07-15 02:00:00+00:00,9.92812e-05,0.1591499434
xyz:CXMT,0.0000471904,0.0758046699,1784084400041,2026-07-15 03:00:00+00:00,4.71904e-05,0.0758046699
xyz:CXMT,0.0000451713,0.0725740779,1784088000005,2026-07-15 04:00:00+00:00,4.51713e-05,0.0725740779
xyz:CXMT,0.0000319956,0.0514929858,1784091600066,2026-07-15 05:00:00+00:00,3.19956e-05,0.0514929858
xyz:CXMT,-0.0000153156,-0.0248049141,1784095200025,2026-07-15 06:00:00+00:00,-1.53156e-05,-0.0248049141
xyz:CXMT,-0.0000079938,-0.0130900901,1784098800039,2026-07-15 07:00:00+00:00,-7.9938e-06,-0.0130900901
xyz:CXMT,0.0000136342,0.0221147802,1784102400024,2026-07-15 08:00:00+00:00,1.36342e-05,0.0221147802
xyz:CXMT,0.0000163493,0.026458944,1784106000018,2026-07-15 09:00:00+00:00,1.63493e-05,0.026458944
xyz:CXMT,0.0000064121,0.010559342,1784109600013,2026-07-15 10:00:00+00:00,6.4121e-06,0.010559342
xyz:CXMT,-0.0000034023,-0.0057436736,1784113200002,2026-07-15 11:00:00+00:00,-3.4023e-06,-0.0057436736
xyz:CXMT,-0.0000053023,-0.0087836595,1784116800055,2026-07-15 12:00:00+00:00,-5.3023e-06,-0.0087836595
xyz:CXMT,-0.0000068322,-0.0112314961,1784120400042,2026-07-15 13:00:00+00:00,-6.8322e-06,-0.0112314961
xyz:CXMT,-0.0000077365,-0.012678337,1784124000050,2026-07-15 14:00:00+00:00,-7.7365e-06,-0.012678337
xyz:CXMT,-0.0000043152,-0.0072042903,1784127600004,2026-07-15 15:00:00+00:00,-4.3152e-06,-0.0072042903
xyz:CXMT,0.0000052211,0.0086536851,1784131200009,2026-07-15 16:00:00+00:00,5.2211e-06,0.0086536851
xyz:CXMT,-0.0000009685,-0.0018495983,1784134800031,2026-07-15 17:00:00+00:00,-9.685e-07,-0.0018495983
xyz:CXMT,0.0000016975,0.00301604,1784138400023,2026-07-15 18:00:00+00:00,1.6975e-06,0.00301604
xyz:CXMT,0.0000006988,0.0014181471,1784142000063,2026-07-15 19:00:00+00:00,6.988e-07,0.0014181471
xyz:CXMT,-0.0000030299,-0.0051477705,1784145600068,2026-07-15 20:00:00+00:00,-3.0299e-06,-0.0051477705
xyz:CXMT,-0.0000051782,-0.0085851237,1784149200027,2026-07-15 21:00:00+00:00,-5.1782e-06,-0.0085851237
xyz:CXMT,-0.0000000814,-0.000430223,1784152800016,2026-07-15 22:00:00+00:00,-8.14e-08,-0.000430223
xyz:CXMT,-0.0000008485,-0.0016576492,1784156400034,2026-07-15 23:00:00+00:00,-8.485e-07,-0.0016576492
xyz:CXMT,0.0000006696,0.0013713444,1784160000034,2026-07-16 00:00:00+00:00,6.696e-07,0.0013713444
xyz:CXMT,0.0000007212,0.0014539481,1784163600054,2026-07-16 01:00:00+00:00,7.212e-07,0.0014539481
xyz:CXMT,-0.0000012599,-0.0023157733,1784167200027,2026-07-16 02:00:00+00:00,-1.2599e-06,-0.0023157733
xyz:CXMT,-0.0000015452,-0.0027722755,1784170800033,2026-07-16 03:00:00+00:00,-1.5452e-06,-0.0027722755
xyz:CXMT,-0.0000016941,-0.0030105446,1784174400056,2026-07-16 04:00:00+00:00,-1.6941e-06,-0.0030105446
xyz:CXMT,-0.0000028644,-0.0048830054,1784178000122,2026-07-16 05:00:00+00:00,-2.8644e-06,-0.0048830054
xyz:CXMT,-0.0000003521,-0.0008634355,1784181600066,2026-07-16 06:00:00+00:00,-3.521e-07,-0.0008634355
xyz:CXMT,0.0000037335,0.0062735224,1784185200042,2026-07-16 07:00:00+00:00,3.7335e-06,0.0062735224
xyz:CXMT,-0.0000024312,-0.0041898506,1784188800015,2026-07-16 08:00:00+00:00,-2.4312e-06,-0.0041898506
xyz:CXMT,-0.0000012969,-0.0023750974,1784192400017,2026-07-16 09:00:00+00:00,-1.2969e-06,-0.0023750974
xyz:CXMT,-0.0000003799,-0.0009077884,1784196000008,2026-07-16 10:00:00+00:00,-3.799e-07,-0.0009077884
xyz:CXMT,-0.0000010097,-0.0019155375,1784199600020,2026-07-16 11:00:00+00:00,-1.0097e-06,-0.0019155375
xyz:CXMT,0.0000042154,0.0070446531,1784203200028,2026-07-16 12:00:00+00:00,4.2154e-06,0.0070446531
xyz:CXMT,-0.0000035747,-0.0060195666,1784206800050,2026-07-16 13:00:00+00:00,-3.5747e-06,-0.0060195666
xyz:CXMT,-0.0000041971,-0.0070153427,1784210400054,2026-07-16 14:00:00+00:00,-4.1971e-06,-0.0070153427
xyz:CXMT,0.0000010677,0.0020083586,1784214000016,2026-07-16 15:00:00+00:00,1.0677e-06,0.0020083586
xyz:CXMT,0.0000003556,0.0008690107,1784217600041,2026-07-16 16:00:00+00:00,3.556e-07,0.0008690107
xyz:CXMT,-0.0000018768,-0.0033029425,1784221200000,2026-07-16 17:00:00+00:00,-1.8768e-06,-0.0033029425
xyz:CXMT,-0.0000008341,-0.0016345671,1784224800011,2026-07-16 18:00:00+00:00,-8.341e-07,-0.0016345671
xyz:CXMT,-0.0000019338,-0.0033940896,1784228400031,2026-07-16 19:00:00+00:00,-1.9338e-06,-0.0033940896
xyz:CXMT,-0.0000004113,-0.0009581434,1784232000030,2026-07-16 20:00:00+00:00,-4.113e-07,-0.0009581434
xyz:CXMT,0.0000007141,0.0014425192,1784235600011,2026-07-16 21:00:00+00:00,7.141e-07,0.0014425192
xyz:CXMT,-0.0000020188,-0.003530094,1784239200008,2026-07-16 22:00:00+00:00,-2.0188e-06,-0.003530094
xyz:CXMT,-0.0000016278,-0.0029044806,1784242800017,2026-07-16 23:00:00+00:00,-1.6278e-06,-0.0029044806
xyz:CXMT,-0.0000019281,-0.0033848968,1784246400018,2026-07-17 00:00:00+00:00,-1.9281e-06,-0.0033848968
xyz:CXMT,-0.0000003018,-0.0007828712,1784250000021,2026-07-17 01:00:00+00:00,-3.018e-07,-0.0007828712
xyz:CXMT,-0.000002862,-0.0048791601,1784253600001,2026-07-17 02:00:00+00:00,-2.862e-06,-0.0048791601
xyz:CXMT,-0.0000048012,-0.0079819347,1784257200017,2026-07-17 03:00:00+00:00,-4.8012e-06,-0.0079819347
xyz:CXMT,-0.0000003828,-0.0009124899,1784260800041,2026-07-17 04:00:00+00:00,-3.828e-07,-0.0009124899
xyz:CXMT,0.0000099856,0.0162769977,1784264400052,2026-07-17 05:00:00+00:00,9.9856e-06,0.0162769977
xyz:CXMT,0.0000012058,0.0022292584,1784268000032,2026-07-17 06:00:00+00:00,1.2058e-06,0.0022292584
xyz:CXMT,0.0000052256,0.0086609493,1784271600072,2026-07-17 07:00:00+00:00,5.2256e-06,0.0086609493
xyz:CXMT,0.0000034725,0.0058559467,1784275200065,2026-07-17 08:00:00+00:00,3.4725e-06,0.0058559467
xyz:CXMT,-0.0000071061,-0.0116698175,1784278800031,2026-07-17 09:00:00+00:00,-7.1061e-06,-0.0116698175
xyz:CXMT,-0.000000156,-0.0005495785,1784282400070,2026-07-17 10:00:00+00:00,-1.56e-07,-0.0005495785
xyz:CXMT,0.0000013246,0.0024193674,1784286000020,2026-07-17 11:00:00+00:00,1.3246e-06,0.0024193674
xyz:CXMT,-0.0000050078,-0.0083124805,1784289600011,2026-07-17 12:00:00+00:00,-5.0078e-06,-0.0083124805
xyz:CXMT,0.0000014247,0.0025794967,1784293200060,2026-07-17 13:00:00+00:00,1.4247e-06,0.0025794967
xyz:CXMT,-0.0000040092,-0.0067147051,1784296800111,2026-07-17 14:00:00+00:00,-4.0092e-06,-0.0067147051
xyz:CXMT,0.0000043833,0.0073133036,1784300400050,2026-07-17 15:00:00+00:00,4.3833e-06,0.0073133036
xyz:CXMT,0.0000012473,0.0022956336,1784304000048,2026-07-17 16:00:00+00:00,1.2473e-06,0.0022956336
xyz:CXMT,0.0000045913,0.0076460254,1784307600062,2026-07-17 17:00:00+00:00,4.5913e-06,0.0076460254
xyz:CXMT,-0.0000002012,-0.0006219269,1784311200022,2026-07-17 18:00:00+00:00,-2.012e-07,-0.0006219269
xyz:CXMT,0.000000101,0.0004615978,1784314800025,2026-07-17 19:00:00+00:00,1.01e-07,0.0004615978
xyz:CXMT,0.0000024198,0.004171756,1784318400039,2026-07-17 20:00:00+00:00,2.4198e-06,0.004171756
xyz:CXMT,-0.0000008879,-0.0017205933,1784322000065,2026-07-17 21:00:00+00:00,-8.879e-07,-0.0017205933
