coin,market,time,fundingRate,premium
xyz:TSLA,US,1779483600002,-0.0000167612,-0.0005681797
xyz:TSLA,US,1779487200000,-0.000027633,-0.0007421278
xyz:TSLA,US,1779490800031,-0.0000235847,-0.0006773546
xyz:TSLA,US,1779494400006,-0.0000332193,-0.0008315091
xyz:TSLA,US,1779498000002,-0.0000970016,-0.0018520253
xyz:TSLA,US,1779501600041,0.0000150055,0.0005400873
xyz:TSLA,US,1779505200019,0.0000068716,0.000409946
xyz:TSLA,US,1779508800053,0.0000411486,0.0009583777
xyz:TSLA,US,1779512400048,-0.0000061636,-0.0003986179
xyz:TSLA,US,1779516000036,-0.0000121351,-0.0004941616
xyz:TSLA,US,1779519600066,-0.0000121995,-0.0004951919
xyz:TSLA,US,1779523200034,-0.000048705,-0.0010792804
xyz:TSLA,US,1779526800067,-0.0000501756,-0.0011028094
xyz:TSLA,US,1779530400023,0.0000389829,0.0009237261
xyz:TSLA,US,1779534000030,0.00000625,0.0000489572
xyz:TSLA,US,1779537600039,0.00000625,0.000327889
xyz:TSLA,US,1779541200035,0.00000625,-0.0000027932
xyz:TSLA,US,1779544800062,0.0000451707,0.001022732
xyz:TSLA,US,1779548400004,0.0000857615,0.0016721845
xyz:TSLA,US,1779552000017,0.0000737966,0.0014807454
xyz:TSLA,US,1779555600014,0.0000779931,0.0015478901
xyz:TSLA,US,1779559200068,0.00000625,0.0000662032
xyz:TSLA,US,1779562800020,0.0001472302,0.0026556833
xyz:TSLA,US,1779566400058,0.0000317333,0.000807733
xyz:TSLA,US,1779570000077,0.0000876987,0.0017031791
xyz:TSLA,US,1779573600025,0.0001592395,0.0028478322
xyz:TSLA,US,1779577200064,0.00000625,0.0002568906
xyz:TSLA,US,1779580800038,-0.0000025851,-0.0003413621
xyz:TSLA,US,1779584400045,0.00000625,0.0003347892
xyz:TSLA,US,1779588000010,0.0000265268,0.000724428
xyz:TSLA,US,1779591600005,-0.0000390729,-0.0009251672
xyz:TSLA,US,1779595200011,-0.0000604929,-0.0012678867
xyz:TSLA,US,1779598800055,0.00000625,-0.0001724133
xyz:TSLA,US,1779602400049,0.00000625,0.0000430841
xyz:TSLA,US,1779606000038,0.00000625,-0.000150132
xyz:TSLA,US,1779609600034,0.0000373783,0.0008980522
xyz:TSLA,US,1779613200048,0.0000367781,0.0008884489
xyz:TSLA,US,1779616800040,0.0000020384,-0.0002673854
xyz:TSLA,US,1779620400057,-0.0000638005,-0.001320808
xyz:TSLA,US,1779624000043,0.00000625,-0.0001919806
xyz:TSLA,US,1779627600052,-0.000001771,-0.0003283359
xyz:TSLA,US,1779631200052,0.00000625,-0.0000556628
xyz:TSLA,US,1779634800032,-0.0000677847,-0.001384555
xyz:TSLA,US,1779638400024,0.000013914,0.0005226233
xyz:TSLA,US,1779642000003,0.0000162127,0.0005594031
xyz:TSLA,US,1779645600030,0.00000625,0.0003119024
xyz:TSLA,US,1779649200041,0.00000625,-0.00019488
xyz:TSLA,US,1779652800000,0.0000046925,-0.0002249207
xyz:TSLA,US,1779656400064,0.0000014911,-0.0002761424
xyz:TSLA,US,1779660000015,-0.0000356616,-0.0008705851
xyz:TSLA,US,1779663600033,-0.0000286363,-0.0007581801
xyz:TSLA,US,1779667200025,0.00000625,0.0001185416
xyz:TSLA,US,1779670800064,0.0000777541,0.0015440651
xyz:TSLA,US,1779674400016,0.0000109441,0.0004751051
xyz:TSLA,US,1779678000050,0.00000625,0.0001480529
xyz:TSLA,US,1779681600031,0.0000653074,0.0013449191
xyz:TSLA,US,1779685200047,0.0000266973,0.0007271576
xyz:TSLA,US,1779688800042,0.0000134728,0.0005155641
xyz:TSLA,US,1779692400052,-0.0000153685,-0.0005458954
xyz:TSLA,US,1779696000016,0.00000625,0.0000619013
xyz:TSLA,US,1779699600028,0.0000068639,0.0004098221
xyz:TSLA,US,1779703200021,0.00000625,0.0002240678
xyz:TSLA,US,1779706800006,0.00000625,-0.0001894745
xyz:TSLA,US,1779710400041,0.00000625,0.0000266896
xyz:TSLA,US,1779714000008,0.000000136,-0.0002978247
xyz:TSLA,US,1779717600059,-0.0000012144,-0.0003194303
xyz:TSLA,US,1779721200007,0.00000625,0.0002349678
xyz:TSLA,US,1779724800039,-0.0000068832,-0.0004101314
xyz:TSLA,US,1779728400058,0.0000007005,-0.0002887914
xyz:TSLA,US,1779732000047,0.0000175448,0.0005807162
xyz:TSLA,US,1779735600032,0.00000625,0.0001470934
xyz:TSLA,US,1779739200052,0.000014454,0.0005312636
xyz:TSLA,US,1779742800018,0.0000138902,0.0005222434
xyz:TSLA,US,1779746400006,0.0000045324,-0.0002274813
xyz:TSLA,US,1779750000026,-0.000013784,-0.0005205437
xyz:TSLA,US,1779753600040,-0.0000468195,-0.0010491126
xyz:TSLA,US,1779757200062,0.000000671,-0.0002892643
xyz:TSLA,US,1779760800054,0.0000018203,-0.0002708746
xyz:TSLA,US,1779764400003,0.00000625,-0.0000823419
xyz:TSLA,US,1779768000070,0.00000625,-0.0000694696
xyz:TSLA,US,1779771600065,0.0000005339,-0.0002914575
xyz:TSLA,US,1779775200000,0.00000625,-0.0001108751
xyz:TSLA,US,1779778800049,0.00000625,0.0000653642
xyz:TSLA,US,1779782400058,-0.0000157243,-0.0005515888
xyz:TSLA,US,1779786000057,-0.0000163159,-0.000561054
xyz:TSLA,US,1779789600044,0.0000012659,-0.0002797449
xyz:TSLA,US,1779793200020,0.00000625,-0.0001801225
xyz:TSLA,US,1779796800014,0.00000625,-0.0001893068
xyz:TSLA,US,1779800400069,0.00000625,-0.0001237692
xyz:TSLA,US,1779804000051,0.0000017251,-0.0002723992
xyz:TSLA,US,1779807600029,-0.0000049206,-0.0003787299
xyz:TSLA,US,1779811200057,-0.0000018709,-0.0003299345
xyz:TSLA,US,1779814800064,0.00000625,-0.0000665997
xyz:TSLA,US,1779818400049,0.00000625,-0.000192419
xyz:TSLA,US,1779822000056,-0.0000053762,-0.0003860189
xyz:TSLA,US,1779825600058,-0.0000012452,-0.0003199236
xyz:TSLA,US,1779829200049,0.00000625,-0.0000825527
xyz:TSLA,US,1779832800001,0.00000625,0.000026631
xyz:TSLA,US,1779836400051,0.00000625,-0.0000413818
xyz:TSLA,US,1779840000065,0.00000625,0.0003637168
xyz:TSLA,US,1779843600008,0.00000625,-0.0000498914
xyz:TSLA,US,1779847200053,0.00000625,0.0000687934
xyz:TSLA,US,1779850800017,0.00000625,0.0003525567
xyz:TSLA,US,1779854400028,0.00000625,0.0002963411
xyz:TSLA,US,1779858000014,0.00000625,0.0000083167
xyz:TSLA,US,1779861600071,0.00000625,0.0000443934
xyz:TSLA,US,1779865200045,0.0000067303,0.0004076853
xyz:TSLA,US,1779868800033,0.00000625,0.0003832434
xyz:TSLA,US,1779872400026,0.0000096933,0.000455093
xyz:TSLA,US,1779876000049,0.00000625,0.0002919632
xyz:TSLA,US,1779879600070,0.00000625,0.0002590304
xyz:TSLA,US,1779883200022,0.00000625,-0.0000628173
xyz:TSLA,US,1779886800017,0.00000625,0.000001491
xyz:TSLA,US,1779890400009,0.00000625,-0.0001369753
xyz:TSLA,US,1779894000023,-0.0000154529,-0.0005472468
xyz:TSLA,US,1779897600056,-0.0000250905,-0.0007014486
xyz:TSLA,US,1779901200002,-0.000009584,-0.0004533445
xyz:TSLA,US,1779904800010,0.00000625,-0.0001453634
xyz:TSLA,US,1779908400031,0.00000625,-0.0001831278
xyz:TSLA,US,1779912000047,0.00000625,-0.0001235649
xyz:TSLA,US,1779915600032,0.00000625,0.0001799739
xyz:TSLA,US,1779919200045,0.00000625,-0.0000583275
xyz:TSLA,US,1779922800042,0.00000625,0.0001150927
xyz:TSLA,US,1779926400013,0.00000625,-0.0000172428
xyz:TSLA,US,1779930000013,0.0000021308,-0.000265907
xyz:TSLA,US,1779933600044,0.000006064,-0.0002029761
xyz:TSLA,US,1779937200040,0.00000625,0.0000160138
xyz:TSLA,US,1779940800023,-0.0000040895,-0.0003654321
xyz:TSLA,US,1779944400005,-0.0000260035,-0.0007160559
xyz:TSLA,US,1779948000060,-0.0000178678,-0.0005858852
xyz:TSLA,US,1779951600067,-0.000015761,-0.0005521762
