coin,market,time,fundingRate,premium,ts,date,seg,wknd
para:CRDO,US,1784293200060,3.64942e-05,0.0007865895,2026-07-17 13:00:00+00:00,2026-07-17,off,False
para:CRDO,US,1784296800111,2.83957e-05,0.0006786097,2026-07-17 14:00:00+00:00,2026-07-17,session,False
para:CRDO,US,1784300400050,7.5e-06,3.45766e-05,2026-07-17 15:00:00+00:00,2026-07-17,session,False
para:CRDO,US,1784304000048,7.5e-06,0.0001009893,2026-07-17 16:00:00+00:00,2026-07-17,session,False
para:CRDO,US,1784307600062,7.5e-06,-0.0001923307,2026-07-17 17:00:00+00:00,2026-07-17,session,False
para:CRDO,US,1784311200022,5.2721e-06,-0.0002297048,2026-07-17 18:00:00+00:00,2026-07-17,session,False
para:CRDO,US,1784314800025,7.5e-06,-0.0001612128,2026-07-17 19:00:00+00:00,2026-07-17,session,False
para:CRDO,US,1784318400039,0.0003913305,0.0055177404,2026-07-17 20:00:00+00:00,2026-07-17,session,False
para:CRDO,US,1784322000065,5.21963e-05,0.0009959506,2026-07-17 21:00:00+00:00,2026-07-17,off,False
para:CRDO,US,1784325600069,7.5e-06,0.0002819575,2026-07-17 22:00:00+00:00,2026-07-17,off,False
para:CRDO,US,1784329200041,-4.8671e-06,-0.0003648953,2026-07-17 23:00:00+00:00,2026-07-17,off,False
para:CRDO,US,1784332800082,7.5e-06,-0.0001200602,2026-07-18 00:00:00+00:00,2026-07-18,off,False
para:CRDO,US,1784336400081,0.0001067674,0.0017235652,2026-07-18 01:00:00+00:00,2026-07-18,off,True
para:CRDO,US,1784340000013,6.3195e-05,0.0011425998,2026-07-18 02:00:00+00:00,2026-07-18,off,True
para:CRDO,US,1784343600008,0.0009035063,0.0123467505,2026-07-18 03:00:00+00:00,2026-07-18,off,True
para:CRDO,US,1784347200021,0.003287451,0.0441326804,2026-07-18 04:00:00+00:00,2026-07-18,off,True
para:CRDO,US,1784350800016,0.0022999185,0.0309655805,2026-07-18 05:00:00+00:00,2026-07-18,off,True
para:CRDO,US,1784354400028,0.0019096154,0.0257615387,2026-07-18 06:00:00+00:00,2026-07-18,off,True
para:CRDO,US,1784358000025,-0.0002718311,-0.0039244144,2026-07-18 07:00:00+00:00,2026-07-18,off,True
para:CRDO,US,1784361600019,-0.0006977243,-0.0096029912,2026-07-18 08:00:00+00:00,2026-07-18,off,True
para:CRDO,US,1784365200040,-0.0004080856,-0.0057411412,2026-07-18 09:00:00+00:00,2026-07-18,off,True
para:CRDO,US,1784368800020,-0.0002024555,-0.0029994065,2026-07-18 10:00:00+00:00,2026-07-18,off,True
para:CRDO,US,1784372400039,7.11792e-05,0.0012490559,2026-07-18 11:00:00+00:00,2026-07-18,off,True
para:CRDO,US,1784376000044,0.0002470696,0.0035942612,2026-07-18 12:00:00+00:00,2026-07-18,off,True
