symbol,underlyingType,days,daily_avg,daily_avg_pct,annualized_pct
HK0700USDT,HK_EQUITY,1,0.00285204,0.285204,104.09946000000001
BOTUSDT,EQUITY,4,0.002228135,0.2228135,81.3269275
HK1810USDT,HK_EQUITY,1,0.00176491,0.176491,64.419215
TENCENTUSDT,HK_EQUITY,1,0.00169152,0.169152,61.74048
MINIMAXUSDT,HK_EQUITY,4,0.0016153724999999999,0.16153725,58.96109625
FWDIUSDT,EQUITY,4,0.001501235,0.15012350000000002,54.7950775
SKHYNIXUSDT,KR_EQUITY,4,0.0013053175,0.13053175,47.64408875
FLEXUSDT,EQUITY,4,0.0009062524999999999,0.09062524999999999,33.07821625
GEVUSDT,EQUITY,4,0.0008844,0.08844,32.28060000000001
KSTRUSDT,EQUITY,4,0.000808445,0.0808445,29.508242499999998
SAMSUNGUSDT,KR_EQUITY,4,0.0007834100000000001,0.07834100000000001,28.594465000000003
SOFIUSDT,EQUITY,2,0.0007776300000000001,0.07776300000000001,28.383495000000003
SOXLUSDT,EQUITY,4,0.00048076999999999994,0.048076999999999995,17.548104999999996
AXTIUSDT,EQUITY,4,0.00044474499999999997,0.0444745,16.233192499999998
PENGUSDT,EQUITY,2,0.000417185,0.0417185,15.227252499999999
MUUUSDT,EQUITY,4,0.0003184925,0.031849249999999996,11.62497625
AAOIUSDT,EQUITY,4,0.0002825375,0.028253749999999998,10.312618749999999
BSPUSDT,EQUITY,4,0.000266765,0.026676500000000002,9.7369225
MVLLUSDT,EQUITY,4,0.00026270000000000004,0.026270000000000005,9.588550000000001
ZHIPUUSDT,HK_EQUITY,4,0.0002623425,0.02623425,9.57550125
BRKBUSDT,EQUITY,4,0.00026008,0.026008,9.49292
MRVLUSDT,EQUITY,4,0.000251005,0.0251005,9.1616825
HYUNDAIUSDT,KR_EQUITY,4,0.00025007500000000005,0.025007500000000005,9.127737500000002
TQQQUSDT,EQUITY,4,0.0002410625,0.024106250000000003,8.79878125
BBXUSDT,EQUITY,4,0.00021805999999999998,0.021806,7.9591899999999995
IBMUSDT,EQUITY,4,0.000211865,0.0211865,7.7330725000000005
SNXXUSDT,EQUITY,4,0.00020149499999999997,0.020149499999999997,7.354567499999999
GOOGLUSDT,EQUITY,4,0.00018756249999999999,0.01875625,6.846031249999999
MUUSDT,EQUITY,4,0.00018589500000000002,0.018589500000000002,6.785167500000002
SPCXUSD1,EQUITY,3,0.00018011,0.018011,6.574014999999999
SPCXUSDT,EQUITY,4,0.000177075,0.0177075,6.463237500000001
TSLAUSDT,EQUITY,4,0.00016905999999999998,0.016905999999999997,6.17069
KORUUSDT,EQUITY,4,0.0001647075,0.01647075,6.01182375
INTCUSDT,EQUITY,4,0.000160445,0.0160445,5.8562425000000005
XBIUSDT,EQUITY,4,0.00015438500000000002,0.015438500000000003,5.6350525000000005
ARMUSDT,EQUITY,4,0.00013835,0.013835,5.049775
NBISUSDT,EQUITY,4,0.00013149250000000002,0.013149250000000001,4.7994762500000006
CRWVUSDT,EQUITY,4,0.0001314225,0.01314225,4.79692125
LLYUSDT,EQUITY,4,0.00010998,0.010998,4.014270000000001
GLWUSDT,EQUITY,4,0.000108245,0.0108245,3.9509425
EWYUSDT,EQUITY,4,0.0001073875,0.01073875,3.91964375
TZAUSDT,EQUITY,4,0.0001073625,0.01073625,3.91873125
EWJUSDT,EQUITY,4,0.0001041525,0.01041525,3.80156625
COINUSDT,EQUITY,4,9.555e-05,0.009555000000000001,3.4875750000000005
XLEUSDT,EQUITY,4,9.23525e-05,0.009235249999999999,3.37086625
PAYPUSDT,EQUITY,4,8.929e-05,0.008929,3.259085
MSTRUSDT,EQUITY,4,7.91675e-05,0.00791675,2.88961375
HOODUSDT,EQUITY,4,7.32475e-05,0.0073247500000000005,2.6735337500000003
SPYUSDT,EQUITY,4,6.852e-05,0.0068520000000000005,2.50098
IRENUSDT,EQUITY,4,6.21225e-05,0.006212249999999999,2.2674712499999994
ASTSUSDT,EQUITY,4,6.0725e-05,0.0060725,2.2164625
CRCLUSDT,EQUITY,4,5.59025e-05,0.005590250000000001,2.04044125
CRDOUSDT,EQUITY,4,5.40675e-05,0.00540675,1.9734637499999999
WDCUSDT,EQUITY,4,4.6825e-05,0.0046825,1.7091124999999998
QQQUSDT,EQUITY,4,4.4655e-05,0.0044655,1.6299075
DRAMUSDT,EQUITY,4,3.79925e-05,0.00379925,1.38672625
BMNRUSDT,EQUITY,4,3.79225e-05,0.00379225,1.38417125
AMATUSDT,EQUITY,4,3.636e-05,0.003636,1.32714
HPEUSDT,EQUITY,4,3.578e-05,0.003578,1.30597
MSFTUSDT,EQUITY,4,3.3425e-05,0.0033425,1.2200125
LRCXUSDT,EQUITY,4,3.31125e-05,0.00331125,1.2086062499999999
