symbol,underlyingType,fundingTime,fundingRate,markPrice,ts,date,prev_ts,interval_h,win_start,overlap_h,seg,wknd
BOTUSDT,EQUITY,1784476800001,0.0,29.59990246,2026-07-19 16:00:00+00:00,2026-07-19,2026-07-19 08:00:00+00:00,8.0,2026-07-19 08:00:00+00:00,0.0,off,True
BOTUSDT,EQUITY,1784505600002,-0.00040891,28.88572756,2026-07-20 00:00:00+00:00,2026-07-20,2026-07-19 16:00:00+00:00,8.0,2026-07-19 16:00:00+00:00,0.0,off,True
BOTUSDT,EQUITY,1784534400001,0.00543214,29.52,2026-07-20 08:00:00+00:00,2026-07-20,2026-07-20 00:00:00+00:00,8.0,2026-07-20 00:00:00+00:00,0.0,off,False
BOTUSDT,EQUITY,1784563200001,0.00065581,27.35,2026-07-20 16:00:00+00:00,2026-07-20,2026-07-20 08:00:00+00:00,8.0,2026-07-20 08:00:00+00:00,2.5,session,False
BOTUSDT,EQUITY,1784592000001,0.00030859,27.24,2026-07-21 00:00:00+00:00,2026-07-21,2026-07-20 16:00:00+00:00,8.0,2026-07-20 16:00:00+00:00,4.0,session,False
BOTUSDT,EQUITY,1784620800001,0.00248493,27.7,2026-07-21 08:00:00+00:00,2026-07-21,2026-07-21 00:00:00+00:00,8.0,2026-07-21 00:00:00+00:00,0.0,off,False
BOTUSDT,EQUITY,1784649600000,0.00025848,28.098432,2026-07-21 16:00:00+00:00,2026-07-21,2026-07-21 08:00:00+00:00,8.0,2026-07-21 08:00:00+00:00,2.5,session,False
BOTUSDT,EQUITY,1784678400000,0.00250283,28.94625294,2026-07-22 00:00:00+00:00,2026-07-22,2026-07-21 16:00:00+00:00,8.0,2026-07-21 16:00:00+00:00,4.0,session,False
BOTUSDT,EQUITY,1784707200001,-0.00232133,27.92204517,2026-07-22 08:00:00+00:00,2026-07-22,2026-07-22 00:00:00+00:00,8.0,2026-07-22 00:00:00+00:00,0.0,off,False
FLEXUSDT,EQUITY,1784476800001,0.0,118.09,2026-07-19 16:00:00+00:00,2026-07-19,2026-07-19 08:00:00+00:00,8.0,2026-07-19 08:00:00+00:00,0.0,off,True
